schema_folder,object_name,object_kind,wiki_md,wiki_alter_exists,uc_table,uc_exists,uc_table_comment_set,uc_total_cols,uc_commented_cols,uc_tier_drift_cols,uc_col_coverage_pct,bucket
BI_DB_dbo,BI_DB_InterestDaily,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_InterestDaily.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_interestdaily,yes,yes,23,23,0,100.0,OK
BI_DB_dbo,BI_DB_InvestorsDetail,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_InvestorsDetail.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_investorsdetail,yes,yes,19,18,0,94.7,OK
BI_DB_dbo,BI_DB_KYC_Knowledge_Assessment,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_KYC_Knowledge_Assessment.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_kyc_knowledge_assessment,yes,yes,23,22,0,95.7,OK
BI_DB_dbo,BI_DB_KYC_Panel,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_KYC_Panel.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_kyc_panel,yes,yes,128,128,0,100.0,OK
BI_DB_dbo,BI_DB_LTV_BI_Actual,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_LTV_BI_Actual.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ltv_bi_actual,yes,yes,30,30,0,100.0,OK
BI_DB_dbo,BI_DB_LiveAcquisitionDashboard_Daily,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_LiveAcquisitionDashboard_Daily.md,yes,main.general.gold_sql_dp_prod_we_bi_db_dbo_bi_db_liveacquisitiondashboard_daily,yes,yes,17,17,0,100.0,OK
BI_DB_dbo,BI_DB_MarketingCloudDaily,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_MarketingCloudDaily.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily,yes,yes,100,99,0,99.0,OK
BI_DB_dbo,BI_DB_MarketingDailyRawData,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_MarketingDailyRawData.md,yes,main.general.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingdailyrawdata,yes,yes,50,49,0,98.0,OK
BI_DB_dbo,BI_DB_Money_In_New_Management_Dashboard,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Money_In_New_Management_Dashboard.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_money_in_new_management_dashboard,yes,yes,27,27,0,100.0,OK
BI_DB_dbo,BI_DB_Money_Out_New_Management_Dashboard,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Money_Out_New_Management_Dashboard.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_money_out_new_management_dashboard,yes,yes,22,21,0,95.5,OK
BI_DB_dbo,BI_DB_Money_Out_STPAnalysis_OPS_Dashboard,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Money_Out_STPAnalysis_OPS_Dashboard.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_money_out_stpanalysis_ops_dashboard,yes,yes,16,15,0,93.8,OK
BI_DB_dbo,BI_DB_MonthlyRiskScore,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_MonthlyRiskScore.md,yes,main.general.gold_sql_dp_prod_we_bi_db_dbo_bi_db_monthlyriskscore,yes,yes,9,9,0,100.0,OK
BI_DB_dbo,BI_DB_NewBonusReport,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_NewBonusReport.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_newbonusreport,yes,yes,20,20,0,100.0,OK
BI_DB_dbo,BI_DB_OPS_Fraud_Alert_Analysis,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_OPS_Fraud_Alert_Analysis.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ops_fraud_alert_analysis,yes,yes,56,56,0,100.0,OK
BI_DB_dbo,BI_DB_OPS_KYC_Verification,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_OPS_KYC_Verification.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ops_kyc_verification,yes,yes,29,29,0,100.0,OK
BI_DB_dbo,BI_DB_OPS_VerificationPipeline_OverLevel2,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_OPS_VerificationPipeline_OverLevel2.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ops_verificationpipeline_overlevel2,yes,yes,18,15,0,83.3,OK
BI_DB_dbo,BI_DB_Operations_Onboarding_Flow_UserKPIs,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Operations_Onboarding_Flow_UserKPIs.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_operations_onboarding_flow_userkpis,yes,yes,85,85,0,100.0,OK
BI_DB_dbo,BI_DB_PI_StatusPanel,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_PI_StatusPanel.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_pi_statuspanel,yes,yes,13,13,0,100.0,OK
BI_DB_dbo,BI_DB_PLTV,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_PLTV.md,yes,main.general.gold_sql_dp_prod_we_bi_db_dbo_bi_db_pltv,yes,yes,8,8,0,100.0,OK
BI_DB_dbo,BI_DB_PositionPnL,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_PositionPnL.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl,yes,yes,42,38,0,90.5,OK
BI_DB_dbo,BI_DB_PositionPnL_EU_Custody,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_PositionPnL_EU_Custody.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl_eu_custody,yes,yes,33,30,0,90.9,OK
BI_DB_dbo,BI_DB_PositionPnL_UK_Custody,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_PositionPnL_UK_Custody.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl_uk_custody,yes,yes,33,30,0,90.9,OK
BI_DB_dbo,BI_DB_PositionPnL_UK_Custody_Resolver,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_PositionPnL_UK_Custody_Resolver.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl_uk_custody_resolver,yes,yes,12,9,0,75.0,OK
BI_DB_dbo,BI_DB_Positions_Closed_To_IBAN,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Positions_Closed_To_IBAN.md,yes,main.general.gold_sql_dp_prod_we_bi_db_dbo_bi_db_positions_closed_to_iban,yes,yes,3,3,0,100.0,OK
BI_DB_dbo,BI_DB_Positions_Opened_From_IBAN,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Positions_Opened_From_IBAN.md,yes,main.general.gold_sql_dp_prod_we_bi_db_dbo_bi_db_positions_opened_from_iban,yes,yes,3,3,0,100.0,OK
BI_DB_dbo,BI_DB_QMMF_Report,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_QMMF_Report.md,yes,main.finance.gold_sql_dp_prod_we_bi_db_dbo_bi_db_qmmf_report,yes,yes,12,12,0,100.0,OK
BI_DB_dbo,BI_DB_RiskAlertManagementTool,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_RiskAlertManagementTool.md,no,,no,no,0,0,0,0.0,MISSING_IN_UC
BI_DB_dbo,BI_DB_RollOverFee_Dividends,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_RollOverFee_Dividends.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_rolloverfee_dividends,yes,yes,21,21,0,100.0,OK
BI_DB_dbo,BI_DB_Scored_Appropriateness_Negative_Market,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Scored_Appropriateness_Negative_Market.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_scored_appropriateness_negative_market,yes,yes,35,34,0,97.1,OK
BI_DB_dbo,BI_DB_Social_Activity,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Social_Activity.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_social_activity,yes,yes,18,15,0,83.3,OK
BI_DB_dbo,BI_DB_SpreadedPriceCandle60MinSplitted,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_SpreadedPriceCandle60MinSplitted.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_spreadedpricecandle60minsplitted,yes,yes,24,21,0,87.5,OK
BI_DB_dbo,BI_DB_Tax_Compliance_TIN,Table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Tax_Compliance_TIN.md,yes,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_tax_compliance_tin,yes,yes,16,15,0,93.8,OK
