approve_y_n,severity,object,column,claim_type,wiki_value,truth_value,truth_source,wiki_file,wiki_line,suggested_fix,verdict_source,contradicting_fact_verbatim,raw_context,substitutions_json
,WRONG,Fact_BillingWithdraw,Commission,default,0,(no default in DDL),INFORMATION_SCHEMA.COLUMNS[Fact_BillingWithdraw.Commission].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingWithdraw.alter.sql | knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingWithdraw.md,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingWithdraw.alter.sql:33 | knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingWithdraw.md:143,,deterministic,,thdrawal. DEFAULT=0. Typicall,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingWithdraw.alter.sql"", ""wiki_line"": ""33""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingWithdraw.md"", ""wiki_line"": ""143""}]}"
,WRONG,Fact_BillingWithdraw,Approved,default,0,(no default in DDL),INFORMATION_SCHEMA.COLUMNS[Fact_BillingWithdraw.Approved].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingWithdraw.alter.sql | knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingWithdraw.md,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingWithdraw.alter.sql:34 | knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingWithdraw.md:144,,deterministic,,approval. DEFAULT=0. DWH note,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingWithdraw.alter.sql"", ""wiki_line"": ""34""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingWithdraw.md"", ""wiki_line"": ""144""}]}"
,WRONG,Fact_BillingWithdraw,ProtocolMIDSettingsID,default,0,(no default in DDL),INFORMATION_SCHEMA.COLUMNS[Fact_BillingWithdraw.ProtocolMIDSettingsID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingWithdraw.alter.sql | knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingWithdraw.md,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingWithdraw.alter.sql:59 | knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingWithdraw.md:169,,deterministic,,ttingsID. Default=0. (Tier 1 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingWithdraw.alter.sql"", ""wiki_line"": ""59""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingWithdraw.md"", ""wiki_line"": ""169""}]}"
,WRONG,V_Dim_Customer,OriginalCID,default,0,(no default in DDL),INFORMATION_SCHEMA.COLUMNS[V_Dim_Customer.OriginalCID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md:42,,deterministic,,accounts. Default=0. (Tier 1 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md"", ""wiki_line"": ""42""}]}"
,WRONG,V_Dim_Customer,SubChannelID,default,0,(no default in DDL),INFORMATION_SCHEMA.COLUMNS[V_Dim_Customer.SubChannelID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md:52,,deterministic,, mapping. DEFAULT=0. (Tier 1 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md"", ""wiki_line"": ""52""}]}"
,WRONG,V_Dim_Customer,LabelID,default,0,(no default in DDL),INFORMATION_SCHEMA.COLUMNS[V_Dim_Customer.LabelID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md:53,,deterministic,,customer. Default=0. (Tier 1 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md"", ""wiki_line"": ""53""}]}"
,WRONG,V_Dim_Customer,SocialConnectID,default,0,(no default in DDL),INFORMATION_SCHEMA.COLUMNS[V_Dim_Customer.SocialConnectID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md:61,,deterministic,,ion type. DEFAULT=0. (Tier 1 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md"", ""wiki_line"": ""61""}]}"
,WRONG,V_Dim_Customer,AccountTypeID,default,1 (real retail account),(no default in DDL),INFORMATION_SCHEMA.COLUMNS[V_Dim_Customer.AccountTypeID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md:82,,deterministic,,fication. Default=1 (real retail account). (Tier 1 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md"", ""wiki_line"": ""82""}]}"
,WRONG,V_Dim_Customer,AccountStatusID,default,1 (Active/Normal),(no default in DDL),INFORMATION_SCHEMA.COLUMNS[V_Dim_Customer.AccountStatusID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md:85,,deterministic,,l status. Default=1 (Active/Normal). 2=Closed,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md"", ""wiki_line"": ""85""}]}"
,WRONG,V_Dim_Customer,IsDepositor,default,0,(no default in DDL),INFORMATION_SCHEMA.COLUMNS[V_Dim_Customer.IsDepositor].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md:90,,deterministic,,rchar(1). DEFAULT=0. (Tier 1 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md"", ""wiki_line"": ""90""}]}"
,WRONG,V_Dim_Customer,FirstDepositDate,default,'19000101',(no default in DDL),INFORMATION_SCHEMA.COLUMNS[V_Dim_Customer.FirstDepositDate].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md:91,,deterministic,,tyle 121. DEFAULT='19000101'. (Tier 1 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md"", ""wiki_line"": ""91""}]}"
,WRONG,V_Dim_Customer,ID,default,newsequentialid(),(no default in DDL),INFORMATION_SCHEMA.COLUMNS[V_Dim_Customer.ID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md:92,,deterministic,,identity. Default=newsequentialid(). (Tier 1 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md"", ""wiki_line"": ""92""}]}"
,WRONG,V_Dim_Customer,PendingClosureStatusID,default,1 (no pending closure),(no default in DDL),INFORMATION_SCHEMA.COLUMNS[V_Dim_Customer.PendingClosureStatusID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md:95,,deterministic,,char(10). Default=1 (no pending closure). (Tier 1 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md"", ""wiki_line"": ""95""}]}"
,WRONG,V_Dim_Customer,WorldCheckID,default,0,(no default in DDL),INFORMATION_SCHEMA.COLUMNS[V_Dim_Customer.WorldCheckID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md:102,,deterministic,,rldCheck. Default=0. (Tier 1 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md"", ""wiki_line"": ""102""}]}"
,WRONG,V_Dim_Customer,HasWallet,default,0,(no default in DDL),INFORMATION_SCHEMA.COLUMNS[V_Dim_Customer.HasWallet].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md,knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md:115,,deterministic,, account. Default=0. (Tier 1 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Views/V_Dim_Customer.md"", ""wiki_line"": ""115""}]}"
,WRONG,V_Fact_SnapshotCustomer,PlayerLevelID,default,0,(no default in DDL),INFORMATION_SCHEMA.COLUMNS[V_Fact_SnapshotCustomer.PlayerLevelID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer.alter.sql,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer.alter.sql:71,,deterministic,,ypeID=2). Default=0. (Tier 2 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer.alter.sql"", ""wiki_line"": ""71""}]}"
,WRONG,V_Fact_SnapshotCustomer_FromDateID,PlayerLevelID,default,0,(no default in DDL),INFORMATION_SCHEMA.COLUMNS[V_Fact_SnapshotCustomer_FromDateID.PlayerLevelID].COLUMN_DEFAULT,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer_FromDateID.alter.sql,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer_FromDateID.alter.sql:105 | knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer_FromDateID.alter.sql:224,,deterministic,,ypeID=2). Default=0. (Tier 2 ,"{""applier_strategy"": ""manual-edit"", ""occurrences"": [{""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer_FromDateID.alter.sql"", ""wiki_line"": ""105""}, {""wiki_file"": ""knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer_FromDateID.alter.sql"", ""wiki_line"": ""224""}]}"
