correction_id,wiki_path,wiki_object,column_name,current_desc,source_wiki,source_desc,new_audit_verdict,new_audit_severity,new_audit_layer,new_audit_proposed_fix,old_judge_verdict,old_judge_contradicting_fact,old_judge_suggested_rewrite,conflict_flag,final_proposed_fix,narrative_review_needed,notes
Dim_CashoutStatus.Name,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CashoutStatus.md,Dim_CashoutStatus,Name,"Human-readable status label. Values: ""N/A"", ""Pending"", ""InProcess"", ""Processed"", ""Canceled"". UNIQUE at production level (not enforced in DWH DDL). Used in reports and monitoring. (Tier 1 - upstream wiki, Dictionary.CashoutStatus)",,,,,,,WRONG,"SELECT 
[CashoutStatusID]
,[Name]
,[CashoutStatusID] as [DWHCashoutStatusID]
,1 as StatusID
,getdate()
,getdate()
FROM [DWH_staging].[etoro_Dictionary_CashoutStatus]","Human-readable status label (e.g. Pending, InProcess, Processed, Canceled, Rejected, etc.). All 17 production values are loaded from staging; the DWH is not limited to 5 values. UNIQUE constraint exists at production level but is not enforced in the DWH DDL.",FALSE,"Human-readable status label (e.g. Pending, InProcess, Processed, Canceled, Rejected, etc.). All 17 production values are loaded from staging; the DWH is not limited to 5 values. UNIQUE constraint exists at production level but is not enforced in the DWH DDL.",FALSE,judge only (no new audit hit)
Dim_ClosePositionReason.ClosePositionReasonID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ClosePositionReason.md,Dim_ClosePositionReason,ClosePositionReasonID,"Primary key. DWH rename of production `ID`. Values 0-26. 0=Customer (manual), 1=Stop Loss, 2=End of Week, 3=SL via trade server, 4=Return to Market, 5=Take Profit, 6=TP via trade server, 7=Contact Rollover, 8=BackOffice, 9=Hierarchical Close, 10=Hierarchical close by recovery, 11=Join Demo Challenge, 12=Close All, 13=Copy Stop Loss, 14=Mirror manual, 15=Manual Liquidation, 16=BSL, 17=Manual Unregister, 18=BackOffice Unregister, 19=Redeem, 20=Operational adjustment, 21=Orphaned, 22=Transferred Out, 23=Alignment, 24=Delist, 25=Close by rate, 26=Expiry. Stored permanently with every closed position",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.ClosePositionActionType.md,,FAIL,LOW,L0-unresolved,,WRONG,7: Contract Rollover,"Primary key. DWH rename of production `ID`. Maps 27 close-position action types (0–26) from Dictionary.ClosePositionActionType, including 7=Contract Rollover (not 'Contact'). Stored permanently with every closed position.",TRUE,"Primary key. DWH rename of production `ID`. Maps 27 close-position action types (0–26) from Dictionary.ClosePositionActionType, including 7=Contract Rollover (not 'Contact'). Stored permanently with every closed position.",FALSE,audit vs judge disagree
Dim_CostSubtype.CostSubtypeId,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CostSubtype.md,Dim_CostSubtype,CostSubtypeId,"Primary key. Integer identifier for the cost subtype. Maps to: 0=Markup, 1=ConversionMarkup, 2=TicketFee, 3=SDRT (UK Stamp Duty), 4=TransactionFee, 5=Refund, 6=FixPerLotFee. DWH note: sourced from `Id` column in HistoryCosts staging (renamed to CostSubtypeId). (Tier 2 - SP_Dictionaries_DL_To_Synapse)",,,,,,,WRONG,CostSubtypeId int NULL,Nullable integer identifier for the cost subtype. Loaded by SP_Dictionaries_DL_To_Synapse from HistoryCosts staging.,FALSE,Nullable integer identifier for the cost subtype. Loaded by SP_Dictionaries_DL_To_Synapse from HistoryCosts staging.,FALSE,judge only (no new audit hit)
Dim_CostType.CostTypeId,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CostType.md,Dim_CostType,CostTypeId,"Primary key. Top-level cost category ID. Maps to: 1=Markup (spread revenue), 2=CurrencyMarkup (FX conversion charge), 3=Fee (explicit per-trade fee), 4=Tax (regulatory tax). DWH note: sourced from `Id` column in HistoryCosts staging, renamed to CostTypeId. (Tier 2 - SP_Dictionaries_DL_To_Synapse)",,,,,,,WRONG,CostTypeId int NULL,Cost category identifier (nullable). Loaded by SP_Dictionaries_DL_To_Synapse from a HistoryCosts staging source. Not a primary key.,FALSE,Cost category identifier (nullable). Loaded by SP_Dictionaries_DL_To_Synapse from a HistoryCosts staging source. Not a primary key.,FALSE,judge only (no new audit hit)
Dim_Country.IsHighRiskCountry,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Country.md,Dim_Country,IsHighRiskCountry,"AML/compliance risk flag. 0=standard risk, 1=high risk. RECOMPUTED by SP from RiskGroupID: `CASE WHEN RiskGroupID IN (0,4) THEN 0 ELSE 1 END`. 179 high-risk countries. Triggers enhanced due diligence and stricter transaction monitoring. (Tier 2 - SP_Dictionaries_Country_DL_To_Synapse)",,,,,,,WRONG,"14 countries are flagged as high-risk, triggering enhanced due diligence (EDD) during onboarding and ongoing monitoring.","AML/compliance risk flag. 0=standard risk, 1=high risk. Recomputed by SP from RiskGroupID: CASE WHEN RiskGroupID IN (0,4) THEN 0 ELSE 1 END — countries with RiskGroupID 1, 2, or 3 are flagged high-risk (14 countries per upstream Dictionary.Country). Triggers enhanced due diligence.",FALSE,"AML/compliance risk flag. 0=standard risk, 1=high risk. Recomputed by SP from RiskGroupID: CASE WHEN RiskGroupID IN (0,4) THEN 0 ELSE 1 END — countries with RiskGroupID 1, 2, or 3 are flagged high-risk (14 countries per upstream Dictionary.Country). Triggers enhanced due diligence.",FALSE,judge only (no new audit hit)
Dim_Country.MarketingRegionID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Country.md,Dim_Country,MarketingRegionID,FK to etoro.Dictionary.MarketingRegion. Marketing segment ID grouping countries by marketing strategy. Distinct from geographic RegionID (which is dropped in DWH). 22 distinct values matching the 22 Region labels,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.Country.md,"FK to Dictionary.MarketingRegion. Segments countries for marketing campaigns. Distinct from geographic Region — MarketingRegion groups by marketing strategy (e.g., ""Arabic"" cuts across Asia/Africa regions)",FAIL,LOW,L2-semantic,FK to Dictionary.MarketingRegion. Segments countries by marketing strategy (e.g. 'Arabic' cuts across Asia/Africa regions). Distinct from geographic RegionID. (Tier 1 - Dictionary.Country),WRONG,"Lookup table defining the 21 geographic marketing segments used for customer acquisition, localization, and regional reporting.","FK to Dictionary.MarketingRegion. Marketing segment ID grouping countries by marketing strategy. Distinct from geographic RegionID (which is not carried into the DWH). 21 defined values (0=Unknown through 99=eToro, with gaps).",TRUE,FK to Dictionary.MarketingRegion. Segments countries by marketing strategy (e.g. 'Arabic' cuts across Asia/Africa regions). Distinct from geographic RegionID. (Tier 1 - Dictionary.Country),FALSE,audit vs judge disagree
Dim_Country.Region,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Country.md,Dim_Country,Region,"Marketing region label for this country. Loaded from etoro.Dictionary.MarketingRegion.Name via JOIN on MarketingRegionID. NOT the geographic region from Dictionary.Region. 22 distinct values (e.g., ""ROW"", ""Africa"", ""French"", ""Arabic Other""). Used for marketing campaign grouping. (Tier 2 - SP_Dictionaries_Country_DL_To_Synapse)",,,,,,,WRONG,"Lookup table defining the 21 geographic marketing segments used for customer acquisition, localization, and regional reporting.","Marketing region label for this country. Loaded from Dictionary.MarketingRegion.Name via JOIN on MarketingRegionID. NOT the geographic region from Dictionary.Region. Up to 21 distinct values (e.g., ""ROW"", ""Africa"", ""French"", ""Arabic""). Used for marketing campaign grouping.",FALSE,"Marketing region label for this country. Loaded from Dictionary.MarketingRegion.Name via JOIN on MarketingRegionID. NOT the geographic region from Dictionary.Region. Up to 21 distinct values (e.g., ""ROW"", ""Africa"", ""French"", ""Arabic""). Used for marketing campaign grouping.",FALSE,judge only (no new audit hit)
Dim_CountryBin.BinCode,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CountryBin.md,Dim_CountryBin,BinCode,"Bank Identification Number. First 6 or 8 digits of the card number identifying the issuing bank and card product. Values < 10,000,000 are 6-digit BINs; >= 10,000,000 are 8-digit BINs. Clustered index key for fast lookups",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.CountryBin6.md,"6-digit BIN (must be < 10,000,000 per CHK_CountryBin6). Part of composite PK. Indexed by IX_DCNB_Bincode",FAIL,MEDIUM,L2-semantic,"6-digit Bank Identification Number (BIN) identifying the issuing bank; constrained to values < 10,000,000 per CHK_CountryBin6. Part of composite PK and indexed by IX_DCNB_Bincode (Tier 1 - Dictionary.CountryBin6)",WRONG,The CHECK constraint (BinCode < 10000000) ensures only 6-digit BINs are stored here. BINs of 8 digits or more belong in Dictionary.CountryBin8.,"Bank Identification Number (6-digit). First 6 digits of the card number identifying the issuing bank and card product. Part of the composite primary key with CountryID. Source upstream table enforces BinCode < 10,000,000 via CHECK constraint; 8-digit BINs are stored separately in Dictionary.CountryBin8.",TRUE,"6-digit Bank Identification Number (BIN) identifying the issuing bank; constrained to values < 10,000,000 per CHK_CountryBin6. Part of composite PK and indexed by IX_DCNB_Bincode (Tier 1 - Dictionary.CountryBin6)",FALSE,audit vs judge disagree
Dim_CountryBin.MinAmountFor3ds,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CountryBin.md,Dim_CountryBin,MinAmountFor3ds,Minimum deposit amount (in account currency units) that triggers 3DS verification for this BIN. 0 = all amounts require 3DS when ShouldCheck3ds=1. Only meaningful when ShouldCheck3ds=1,knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.CountryBin6.md,Minimum amount that triggers 3DS check. NULL = no minimum,FAIL,LOW,L2-semantic,Minimum amount that triggers 3DS check. NULL = no minimum. (Tier 1 - Dictionary.CountryBin6),,,,FALSE,Minimum amount that triggers 3DS check. NULL = no minimum. (Tier 1 - Dictionary.CountryBin6),FALSE,
Dim_CountryIPAnonymous.CountryCode,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CountryIPAnonymous.md,Dim_CountryIPAnonymous,CountryCode,"ISO 3166-1 alpha-2 country code from IP2Location (e.g., ""AU"", ""JP""). Source column: `ISNULL(country_code, 'NA')` - NULL guard prevents Namibia rows from being silently dropped. Used to resolve CountryID via JOIN to Dim_Country.Abbreviation. (Tier 2 - SP_Dictionaries_Country_DL_To_Synapse)",,,,,,,WRONG,"isnull([country_code],'NA') --Namibia","ISO 3166-1 alpha-2 country code from IP2Location. Source: `ISNULL(country_code, 'NA')` — NULLs are replaced with 'NA', which is Namibia's ISO code, so unknown-country IPs will masquerade as Namibia. Used to resolve CountryID via JOIN to Dim_Country.Abbreviation.",FALSE,"ISO 3166-1 alpha-2 country code from IP2Location. Source: `ISNULL(country_code, 'NA')` — NULLs are replaced with 'NA', which is Namibia's ISO code, so unknown-country IPs will masquerade as Namibia. Used to resolve CountryID via JOIN to Dim_Country.Abbreviation.",FALSE,judge only (no new audit hit)
Dim_CountryIPAnonymousProxyType.ProxyType,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CountryIPAnonymousProxyType.md,Dim_CountryIPAnonymousProxyType,ProxyType,"Primary key — 3-character IP2Location proxy type code. Values: DCH (Data Center/CDN), PUB (Public Proxy), SES (Search Engine Bot), TOR (Tor Exit Node), VPN (Anonymizing VPN), WEB (Web Proxy). Used as the JOIN key to decode proxy codes in Dim_CountryIPAnonymous and Fact_CustomerAction. (Tier 3 — live data, DWH_dbo.Dim_CountryIPAnonymousProxyType)",,,,,,,WRONG,ProxyType varchar(3) NULL,3-character IP2Location proxy type code (nullable varchar(3)). Not a formal primary key per DDL. Used to categorise proxy connections detected by IP geolocation.,FALSE,3-character IP2Location proxy type code (nullable varchar(3)). Not a formal primary key per DDL. Used to categorise proxy connections detected by IP geolocation.,FALSE,judge only (no new audit hit)
Dim_CreditType.CreditTypeID,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CreditType.md,Dim_CreditType,CreditTypeID,"Financial operation type identifier (1-33). Classifies every balance change: 1=Deposit, 2=Cashout, 3=Open Position, 4=Close Position, 5=Champ Winner, 6=Compensation, 7=Bonus, 8=Reverse Cashout, 9=Cashout Request, 10=IB synchronization, 11=Chargeback, 12=Refund, 13=Edit Stop Loss, 14=End of Week Fee, 15=Cashout Fee, 16=Refund As ChargeBack, 17=FixHistoryCreditChargeBacks, 18-28=Mirror/CopyTrading operations, 29-30=Close Stock Order, 31=Data Fix, 32=Reverse Deposit, 33=Cashout Rollback",knowledge/ProdSchemas/DB_Schema/etoro/Wiki/Dictionary/Tables/Dictionary.CreditType.md,"Financial operation type identifier (1-33). Classifies every balance change: 1=Deposit, 2=Cashout, 3=Open Position, 4=Close Position, 5=Champ Winner, 6=Compensation, 7=Bonus, 8=Reverse Cashout, 9=Cashout Request, 10=IB Sync, 11=Chargeback, 12=Refund, 13=Edit Stop Loss, 14=End of Week Fee, 15=Cashout Fee, 16=Refund As ChargeBack, 17=FixHistoryCreditChargeBacks, 18-28=Mirror/CopyTrading operations, 29-30=Stock Orders, 31=Data Fix, 32=Reverse Deposit, 33=Cashout Rollback",FAIL,LOW,L2-semantic,Financial operation type identifier (1-33). Classifies every balance change: ...29-30=Stock Orders... (Tier 1 - Dictionary.CreditType),WRONG,"Copy Trading / Mirror (18-28): Mirror allocations, de-allocations, hierarchical operations, detachment from mirrors","Financial operation type identifier (1-33). Classifies every balance change: 1=Deposit, 2=Cashout, 3=Open Position, 4=Close Position, 5=Champ Winner, 6=Compensation, 7=Bonus, 8=Reverse Cashout, 9=Cashout Request, 10=IB synchronization, 11=Chargeback, 12=Refund, 13=Edit Stop Loss, 14=End of Week Fee, 15=Cashout Fee, 16=Refund As ChargeBack, 17=FixHistoryCreditChargeBacks, 18-28=Mirror/CopyTrading operations (allocations, de-allocations, detachments), 29-30=Close Stock Order, 31=Data Fix, 32=Reverse Deposit, 33=Cashout Rollback.",TRUE,"Financial operation type identifier (1-33). Classifies every balance change: 1=Deposit, 2=Cashout, 3=Open Position, 4=Close Position, 5=Champ Winner, 6=Compensation, 7=Bonus, 8=Reverse Cashout, 9=Cashout Request, 10=IB synchronization, 11=Chargeback, 12=Refund, 13=Edit Stop Loss, 14=End of Week Fee, 15=Cashout Fee, 16=Refund As ChargeBack, 17=FixHistoryCreditChargeBacks, 18-28=Mirror/CopyTrading operations (allocations, de-allocations, detachments), 29-30=Close Stock Order, 31=Data Fix, 32=Reverse Deposit, 33=Cashout Rollback.",FALSE,prefer old judge (cites source verbatim)
