category,source_schema,catalog,uc_schema,uc_table,uc_full_target,uc_col_count,missing_cols,wiki_md,wiki_col_count,alter_sql_exists
A2,Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_islamic_daily_spot_price_adjustment,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_islamic_daily_spot_price_adjustment,34,4,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Islamic_Daily_Spot_Price_Adjustment.md,30,yes
A2,DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_dim_positionchangelog,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_positionchangelog,20,3,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PositionChangeLog.md,17,yes
A2,DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,139,3,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.md,136,yes
A2,DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_fact_billingredeem,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingredeem,15,3,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingRedeem.md,12,yes
A2,DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_fact_currencypricewithsplit,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_currencypricewithsplit,17,3,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CurrencyPriceWithSplit.md,14,yes
A2,DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,74,3,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.md,71,yes
A2,DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_fact_customerunrealized_pnl,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customerunrealized_pnl,60,3,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerUnrealized_PnL.md,57,yes
A2,DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_fact_firstcustomeraction,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_firstcustomeraction,31,3,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_FirstCustomerAction.md,28,yes
A2,DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_fact_guru_copiers,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_guru_copiers,12,3,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_Guru_Copiers.md,9,yes
A2,DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_fact_history_cost,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_history_cost,28,3,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_History_Cost.md,25,yes
A2,DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_sts_user_operations_data_history,main.dwh.gold_sql_dp_prod_we_dwh_dbo_sts_user_operations_data_history,24,3,knowledge/synapse/Wiki/DWH_dbo/Tables/STS_User_Operations_Data_History.md,21,yes
A2,DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_v_dim_mirror,main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_dim_mirror,30,3,knowledge/synapse/Wiki/DWH_dbo/Views/v_Dim_Mirror.md,27,yes
A2,DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotequity_fromdateid,main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotequity_fromdateid,31,3,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity_FromDateID.md,30,yes
A2,DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_v_liabilities,main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_liabilities,78,3,knowledge/synapse/Wiki/DWH_dbo/Views/V_Liabilities.md,65,yes
A2,DWH_dbo,main,pii_data,gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer,main.pii_data.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer,47,3,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer.md,31,yes
A2,DWH_dbo,main,pii_data,gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid,main.pii_data.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid,57,3,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotCustomer_FromDateID.md,32,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_asic_clientbalancefinance,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_asic_clientbalancefinance,22,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ASIC_ClientBalanceFinance.md,19,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cb_cyclegap_categorization,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cb_cyclegap_categorization,26,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CB_CycleGap_Categorization.md,23,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_daily_nwa,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_daily_nwa,23,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_Daily_NWA.md,20,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailypanel_club,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailypanel_club,70,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_DailyPanel_Club.md,67,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailypanel_fulldata,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_dailypanel_fulldata,184,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_DailyPanel_FullData.md,182,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_lifestagedefinition,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_lifestagedefinition,12,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_LifeStageDefinition.md,9,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_new_compensationbreakdown,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_new_compensationbreakdown,34,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Client_New_CompensationBreakdown.md,31,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop,41,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Crypto_NOP.md,38,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop_cid,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop_cid,39,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Crypto_NOP_CID.md,36,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_daily_creditline,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_daily_creditline,16,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Daily_CreditLine.md,13,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_daily_dividends,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_daily_dividends,17,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Daily_Dividends.md,14,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycommisionreport,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycommisionreport,80,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DailyCommisionReport.md,77,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycopyrevenue,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycopyrevenue,18,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DailyCopyRevenue.md,15,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailydividendsbyposition,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailydividendsbyposition,29,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DailyDividendsByPosition.md,26,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzero_treesize_new,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzero_treesize_new,38,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DailyZero_TreeSize_NEW.md,35,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzeropnl_stocks,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzeropnl_stocks,29,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DailyZeroPnL_Stocks.md,26,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_customer_daily_status,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_customer_daily_status,67,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Customer_Daily_Status.md,64,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_customer_periodic_status,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_customer_periodic_status,131,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Customer_Periodic_Status.md,128,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_mimo_allplatforms,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_mimo_allplatforms,24,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_MIMO_AllPlatforms.md,21,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_pnl,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_pnl,18,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_PnL.md,15,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_trading_volumes_and_amounts,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_trading_volumes_and_amounts,30,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Fact_Trading_Volumes_And_Amounts.md,27,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_fact_customer_action_position_distribution,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_fact_customer_action_position_distribution,40,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Fact_Customer_Action_Position_Distribution.md,37,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_finance_etoro_vs_positions,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_finance_etoro_vs_positions,40,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Finance_eToro_vs_Positions.md,37,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_interestdaily,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_interestdaily,23,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_InterestDaily.md,20,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_investorsdetail,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_investorsdetail,19,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_InvestorsDetail.md,16,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_newbonusreport,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_newbonusreport,20,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_NewBonusReport.md,17,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl,42,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_PositionPnL.md,39,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl_eu_custody,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl_eu_custody,33,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_PositionPnL_EU_Custody.md,30,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl_uk_custody,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl_uk_custody,33,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_PositionPnL_UK_Custody.md,30,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl_uk_custody_resolver,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl_uk_custody_resolver,12,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_PositionPnL_UK_Custody_Resolver.md,9,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_social_activity,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_social_activity,18,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Social_Activity.md,15,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_spreadedpricecandle60minsplitted,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_spreadedpricecandle60minsplitted,24,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_SpreadedPriceCandle60MinSplitted.md,21,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_dwh_cids7daysdeviation,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_dwh_cids7daysdeviation,7,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/DWH_CIDs7DaysDeviation.md,4,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_dwh_cidsdailyrisk,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_dwh_cidsdailyrisk,8,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/DWH_CIDsDailyRisk.md,5,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_dwh_gaindaily,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_dwh_gaindaily,16,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/DWH_GainDaily.md,13,yes
A2,Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_holdings,22,3,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_Holdings.md,19,yes
A2,Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_tradeactivity,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_apexrecon_tradeactivity,18,3,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ApexRecon_TradeActivity.md,15,yes
A2,Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_bny_virtu_reconeodholding,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_bny_virtu_reconeodholding,31,3,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_BNY_VIRTU_ReconEODHolding.md,28,yes
A2,Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_boundary_cost,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_boundary_cost,34,3,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Boundary_Cost.md,31,yes
A2,Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_duco_activityrecon,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_duco_activityrecon,28,3,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Duco_ActivityRecon.md,25,yes
A2,Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_esmanetloss,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_esmanetloss,23,3,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ESMANetLoss.md,20,yes
A2,Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_manipulationreport_realstocks,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_manipulationreport_realstocks,17,3,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ManipulationReport_RealStocks.md,14,yes
A2,Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_manipulationreport_realstocks_cid,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_manipulationreport_realstocks_cid,21,3,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_ManipulationReport_RealStocks_CID.md,18,yes
A2,Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_marex_recon_eodholdings_futures,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_marex_recon_eodholdings_futures,39,3,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Marex_Recon_EODHoldings_Futures.md,36,yes
A2,Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_saxorecon_eodholdings,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_saxorecon_eodholdings,36,3,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_SAXORecon_EODHoldings.md,33,yes
A2,Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_dealing_staking_summary,main.dealing.gold_sql_dp_prod_we_dealing_dbo_dealing_staking_summary,34,3,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Staking_Summary.md,31,yes
A2,Dealing_dbo,main,dealing,gold_sql_dp_prod_we_dealing_dbo_v_dealing_duco_eodrecon,main.dealing.gold_sql_dp_prod_we_dealing_dbo_v_dealing_duco_eodrecon,30,3,knowledge/synapse/Wiki/Dealing_dbo/Views/V_Dealing_Duco_EODRecon.md,27,yes
A2,Dealing_dbo,main,bi_db,gold_sql_dp_prod_we_dealing_dbo_dealing_dealingdashboard_clients,main.bi_db.gold_sql_dp_prod_we_dealing_dbo_dealing_dealingdashboard_clients,48,3,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_DealingDashboard_Clients.md,45,yes
A2,Dealing_dbo,main,bi_db,gold_sql_dp_prod_we_dealing_dbo_dealing_duco_eodrecon,main.bi_db.gold_sql_dp_prod_we_dealing_dbo_dealing_duco_eodrecon,29,3,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Duco_EODRecon.md,26,yes
A2,Dealing_dbo,main,bi_db,gold_sql_dp_prod_we_dealing_dbo_dealing_numberofpositionsopened_agg,main.bi_db.gold_sql_dp_prod_we_dealing_dbo_dealing_numberofpositionsopened_agg,9,3,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_NumberofPositionsOpened_Agg.md,6,yes
A2,eMoney_dbo,main,bi_db,gold_sql_dp_prod_we_emoney_dbo_emoneyclientbalance,main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoneyclientbalance,75,3,knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoneyClientBalance.md,50,yes
A2,EXW_dbo,main,bi_db,gold_sql_dp_prod_we_exw_dbo_exw_financereportsbalancesnew,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_financereportsbalancesnew,40,3,knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_FinanceReportsBalancesNew.md,37,yes
A2,EXW_dbo,main,bi_db,gold_sql_dp_prod_we_exw_dbo_exw_walletentity,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_walletentity,17,3,knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_WalletEntity.md,14,yes
A2,EXW_Wallet,main,bi_db,gold_sql_dp_prod_we_exw_wallet_exw_price,main.bi_db.gold_sql_dp_prod_we_exw_wallet_exw_price,17,3,knowledge/synapse/Wiki/EXW_Wallet/Tables/EXW_Price.md,14,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_sar_report_fca,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_sar_report_fca,50,1,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_SAR_Report_FCA.md,49,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_money_out_new_management_dashboard,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_money_out_new_management_dashboard,22,1,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Money_Out_New_Management_Dashboard.md,21,yes
A2,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_money_out_stpanalysis_ops_dashboard,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_money_out_stpanalysis_ops_dashboard,16,1,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Money_Out_STPAnalysis_OPS_Dashboard.md,15,yes
A3,DWH_dbo,main,dwh,gold_sql_dp_prod_we_dwh_dbo_fact_billingwithdraw,main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingwithdraw,86,3,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingWithdraw.md,0,yes
A3,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_cid_level,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_cid_level,175,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_CID_Level.md,0,yes
A3,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_daily_aggregated,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_daily_aggregated,140,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Daily_Aggregated.md,0,yes
A3,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily,100,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_MarketingCloudDaily.md,0,yes
A3,BI_DB_dbo,main,bi_db,gold_sql_dp_prod_we_bi_db_dbo_v_bi_db_alldeposits,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_v_bi_db_alldeposits,129,3,knowledge/synapse/Wiki/BI_DB_dbo/Views/V_BI_DB_AllDeposits.md,0,yes
