left,right,edge_kind,join_keys,purpose,source_wiki,schema_dir
BI_DB_dbo.AML_German_Video_Ident,general.SolarisBankIdentDb_SolarisBankIdent,lineage,Is_Pass_BankIdent <- GlobalStatus,"MAX CASE, latest by _ts",knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_German_Video_Ident,general.VideoIdentDb_VideoIdent,lineage,Is_Pass_VideoIdent <- Status,"MAX CASE, latest by UpdatedOn",knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_German_Video_Ident.md,BI_DB_dbo
BI_DB_dbo.AML_InstrumentMetaData_Daily_Email,Trade.InstrumentMetaData,lineage,InstrumentID <- InstrumentID,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_InstrumentMetaData_Daily_Email.md,BI_DB_dbo
BI_DB_dbo.AML_InstrumentMetaData_Daily_Email,Trade.InstrumentMetaData,lineage,InstrumentDisplayName <- InstrumentDisplayName,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_InstrumentMetaData_Daily_Email.md,BI_DB_dbo
BI_DB_dbo.AML_InstrumentMetaData_Daily_Email,Trade.InstrumentMetaData,lineage,ISINCode <- ISINCode,Passthrough; SP filter removes NULLs and 6 invalid string patterns,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_InstrumentMetaData_Daily_Email.md,BI_DB_dbo
BI_DB_dbo.AML_InstrumentMetaData_Daily_Email_DayToDay_Changes,Trade.InstrumentMetaData,lineage,InstrumentID <- InstrumentID,INNER JOIN key,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_InstrumentMetaData_Daily_Email_DayToDay_Changes.md,BI_DB_dbo
BI_DB_dbo.AML_InstrumentMetaData_Daily_Email_DayToDay_Changes,Trade.InstrumentMetaData,lineage,InstrumentDisplayName <- InstrumentDisplayName,Passthrough from #currentIsins,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_InstrumentMetaData_Daily_Email_DayToDay_Changes.md,BI_DB_dbo
BI_DB_dbo.AML_InstrumentMetaData_Daily_Email_DayToDay_Changes,Trade.InstrumentMetaData,lineage,SymbolFull <- SymbolFull,Passthrough from #currentIsins,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_InstrumentMetaData_Daily_Email_DayToDay_Changes.md,BI_DB_dbo
BI_DB_dbo.AML_InstrumentMetaData_Daily_Email_DayToDay_Changes,Trade.InstrumentMetaData,lineage,New_ISINCode <- ISINCode,Renamed from ISINCode; today's value,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_InstrumentMetaData_Daily_Email_DayToDay_Changes.md,BI_DB_dbo
BI_DB_dbo.AML_InstrumentMetaData_Daily_Email_DayToDay_Changes,Trade.History_InstrumentMetaData,lineage,Old_ISINCode <- ISINCode,Renamed from ISINCode; yesterday's earliest value per InstrumentID,knowledge/synapse/Wiki/BI_DB_dbo/Tables/AML_InstrumentMetaData_Daily_Email_DayToDay_Changes.md,BI_DB_dbo
BI_DB_dbo.Apex_UserProgramEnrolment_2024_01_25,DWH_dbo.Dim_Customer,common_join,`ON a.GCID = c.GCID`,"Enrich with CID, regulation, country",knowledge/synapse/Wiki/BI_DB_dbo/Tables/Apex_UserProgramEnrolment_2024_01_25.md,BI_DB_dbo
BI_DB_dbo.Apex_UserProgramEnrolment_2024_01_25,External_USABroker_Apex_UserProgramEnrolment,common_join,`ON a.GCID = b.GCID`,Compare snapshot vs current state,knowledge/synapse/Wiki/BI_DB_dbo/Tables/Apex_UserProgramEnrolment_2024_01_25.md,BI_DB_dbo
BI_DB_dbo.Apex_UserProgramEnrolment_2024_01_25,USABroker,lineage,GCID <- GCID,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/Apex_UserProgramEnrolment_2024_01_25.md,BI_DB_dbo
BI_DB_dbo.Apex_UserProgramEnrolment_2024_01_25,Apex,lineage,GCID <- GCID,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/Apex_UserProgramEnrolment_2024_01_25.md,BI_DB_dbo
BI_DB_dbo.Apex_UserProgramEnrolment_2024_01_25,USABroker,lineage,UserProgramEnrolmentStatusID <- UserProgramEnrolmentStatusID,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/Apex_UserProgramEnrolment_2024_01_25.md,BI_DB_dbo
BI_DB_dbo.Apex_UserProgramEnrolment_2024_01_25,Apex,lineage,UserProgramEnrolmentStatusID <- UserProgramEnrolmentStatusID,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/Apex_UserProgramEnrolment_2024_01_25.md,BI_DB_dbo
BI_DB_dbo.Apex_UserProgramEnrolment_2024_01_25,USABroker,lineage,UserProgramID <- UserProgramID,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/Apex_UserProgramEnrolment_2024_01_25.md,BI_DB_dbo
BI_DB_dbo.Apex_UserProgramEnrolment_2024_01_25,Apex,lineage,UserProgramID <- UserProgramID,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/Apex_UserProgramEnrolment_2024_01_25.md,BI_DB_dbo
BI_DB_dbo.Apex_UserProgramEnrolment_2024_01_25,USABroker,lineage,BeginTime <- BeginTime,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/Apex_UserProgramEnrolment_2024_01_25.md,BI_DB_dbo
BI_DB_dbo.Apex_UserProgramEnrolment_2024_01_25,Apex,lineage,BeginTime <- BeginTime,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/Apex_UserProgramEnrolment_2024_01_25.md,BI_DB_dbo
BI_DB_dbo.Apex_UserProgramEnrolment_2024_01_25,USABroker,lineage,EndTime <- EndTime,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/Apex_UserProgramEnrolment_2024_01_25.md,BI_DB_dbo
BI_DB_dbo.Apex_UserProgramEnrolment_2024_01_25,Apex,lineage,EndTime <- EndTime,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/Apex_UserProgramEnrolment_2024_01_25.md,BI_DB_dbo
BI_DB_dbo.Apex_UserProgramEnrolment_2024_01_25,DWH_dbo.Dim_Customer,references_to,GCID,Customer demographics via GCID FK,knowledge/synapse/Wiki/BI_DB_dbo/Tables/Apex_UserProgramEnrolment_2024_01_25.md,BI_DB_dbo
BI_DB_dbo.Apex_UserProgramEnrolment_2024_01_25,External_USABroker_Apex_UserProgramEnrolment,references_to,Source,Live version of this snapshot (current state),knowledge/synapse/Wiki/BI_DB_dbo/Tables/Apex_UserProgramEnrolment_2024_01_25.md,BI_DB_dbo
BI_DB_dbo.BI_CLData_AllTimeData_Optimove,DWH_dbo.Dim_Customer,common_join,`ON a.RealCID = c.RealCID`,Customer demographics,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_CLData_AllTimeData_Optimove.md,BI_DB_dbo
BI_DB_dbo.BI_CLData_AllTimeData_Optimove,BI_DB_dbo.BI_DB_CreditLineData_Optimove,common_join,`ON a.RealCID = b.RealCID AND a.DateReceive = b.DateReceive`,Compare AllTimeData vs per-period CL,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_CLData_AllTimeData_Optimove.md,BI_DB_dbo
BI_DB_dbo.BI_CLData_AllTimeData_Optimove,DWH_dbo.Fact_CustomerAction,common_join,`ON a.RealCID = b.RealCID AND ActionTypeID=9 AND BonusTypeID=71`,Verify CL source transactions,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_CLData_AllTimeData_Optimove.md,BI_DB_dbo
BI_DB_dbo.BI_CLData_AllTimeData_Optimove,etoro,lineage,RealCID <- RealCID,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_CLData_AllTimeData_Optimove.md,BI_DB_dbo
BI_DB_dbo.BI_CLData_AllTimeData_Optimove,etoro,lineage,DateReceive <- DateReceive,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_CLData_AllTimeData_Optimove.md,BI_DB_dbo
BI_DB_dbo.BI_CLData_AllTimeData_Optimove,Computed,lineage,EndOfMonthOFDateReceive <- DateReceive,EOMONTH(DateReceive),knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_CLData_AllTimeData_Optimove.md,BI_DB_dbo
BI_DB_dbo.BI_CLData_AllTimeData_Optimove,Unknown,lineage,Rounds <- Unknown,—,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_CLData_AllTimeData_Optimove.md,BI_DB_dbo
BI_DB_dbo.BI_CLData_AllTimeData_Optimove,Computed,lineage,MonthYear <- DateReceive,"FORMAT(DateReceive, ...)",knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_CLData_AllTimeData_Optimove.md,BI_DB_dbo
BI_DB_dbo.BI_CLData_AllTimeData_Optimove,Computed,lineage,MONTH <- DateReceive,MONTH(DateReceive),knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_CLData_AllTimeData_Optimove.md,BI_DB_dbo
BI_DB_dbo.BI_CLData_AllTimeData_Optimove,Computed,lineage,Year <- DateReceive,YEAR(DateReceive),knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_CLData_AllTimeData_Optimove.md,BI_DB_dbo
BI_DB_dbo.BI_CLData_AllTimeData_Optimove,etoro,lineage,PostiveTotalCLAmount <- TotalCLAmount,Cumulative positive sum,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_CLData_AllTimeData_Optimove.md,BI_DB_dbo
BI_DB_dbo.BI_CLData_AllTimeData_Optimove,etoro,lineage,DailySum <- TotalCLAmount,Daily amount,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_CLData_AllTimeData_Optimove.md,BI_DB_dbo
BI_DB_dbo.BI_CLData_AllTimeData_Optimove,etoro,lineage,TotalCLEver <- TotalCLAmount,All-time cumulative sum,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_CLData_AllTimeData_Optimove.md,BI_DB_dbo
BI_DB_dbo.BI_CLData_AllTimeData_Optimove,ETL,lineage,UpdateDate <- —,GETDATE() at load time,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_CLData_AllTimeData_Optimove.md,BI_DB_dbo
BI_DB_dbo.BI_CLData_AllTimeData_Optimove,DWH_dbo.Dim_Customer,references_to,RealCID,Customer demographics via RealCID FK,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_CLData_AllTimeData_Optimove.md,BI_DB_dbo
BI_DB_dbo.BI_CLData_AllTimeData_Optimove,DWH_dbo.Fact_CustomerAction,references_to,Credit Line domain,"Source CL transactions (ActionTypeID=9, BonusTypeID=71)",knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_CLData_AllTimeData_Optimove.md,BI_DB_dbo
BI_DB_dbo.BI_CLData_AllTimeData_Optimove,BI_DB_dbo.BI_DB_CreditLineData_Optimove,references_to,Schema sibling,Per-period CL Optimove feed (also empty),knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_CLData_AllTimeData_Optimove.md,BI_DB_dbo
BI_DB_dbo.BI_CLData_AllTimeData_Optimove,BI_DB_dbo.BI_DB_Daily_CreditLine,references_to,CL daily tracker,Active daily CL tracking table (separate pipeline),knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_CLData_AllTimeData_Optimove.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure,External_etoro_Trade_HedgeServer,common_join,`ON a.HedgeServerID = hs.HedgeServerID`,Hedge server name and configuration,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure,DWH_dbo.Dim_Instrument,common_join,`ON a.InstrumentID = di.InstrumentID`,Full instrument metadata,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure,BI_DB_ABook_Exposure_History,common_join,`ON a.HedgeServerID = h.HedgeServerID AND a.InstrumentID = h.InstrumentID AND h.DATE = @date`,Current vs. historical comparison,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure,BI_DB_ABook_Exposure_NOPHedged,common_join,`ON a.HedgeServerID = n.HedgeServerID AND a.InstrumentID = n.InstrumentID`,Cross-reference with active successor table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure,etoro,lineage,HedgeServerID <- HedgeServerID,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure,HedgeServer,lineage,HedgeServerID <- HedgeServerID,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure,DWH_dbo.Dim_Instrument,lineage,InstrumentID <- InstrumentID,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure,DWH_dbo.Dim_Instrument,lineage,InstrumentName <- InstrumentDisplayName,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure,DWH_dbo.Dim_Instrument,lineage,InstrumentType <- InstrumentType,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure,ABook,lineage,DATE <- Date,Trading date,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure,ABook,lineage,NOP_unhedged/NOP/NOPHedged <- NOP calculations,Aggregated per instrument/server,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure,ABook,lineage,All exposure metrics <- Position aggregations,"Long−Short NOP, Open positions",knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure,ETL,lineage,UpdateDate <- —,Load timestamp,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure,External_etoro_Trade_HedgeServer,references_to,HedgeServerID,"Hedge server configuration (IP, mode, strategy)",knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure,DWH_dbo.Dim_Instrument,references_to,InstrumentID,"Instrument metadata (name, type, asset class)",knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure,BI_DB_ABook_Exposure_History,references_to,Schema sibling,DATE-clustered historical log of this table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure,BI_DB_ABook_Exposure_NOPHedged,references_to,Active successor,Active exposure table with liquidity account detail (hourly UC pipeline),knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_History,External_etoro_Trade_HedgeServer,common_join,`ON h.HedgeServerID = hs.HedgeServerID`,Hedge server name and configuration,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_History.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_History,DWH_dbo.Dim_Instrument,common_join,`ON h.InstrumentID = di.InstrumentID`,Full instrument metadata,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_History.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_History,BI_DB_ABook_Exposure,common_join,`ON h.HedgeServerID = a.HedgeServerID AND h.InstrumentID = a.InstrumentID`,Historical vs. current-state comparison,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_History.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_History,BI_DB_ABook_Exposure_NOPHedged,common_join,`ON h.HedgeServerID = n.HedgeServerID AND h.InstrumentID = n.InstrumentID AND h.DATE = n.Date`,Cross-reference with active successor table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_History.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_History,etoro,lineage,HedgeServerID <- HedgeServerID,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_History.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_History,HedgeServer,lineage,HedgeServerID <- HedgeServerID,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_History.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_History,DWH_dbo.Dim_Instrument,lineage,InstrumentID <- InstrumentID,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_History.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_History,DWH_dbo.Dim_Instrument,lineage,InstrumentName <- InstrumentDisplayName,Passthrough / truncated,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_History.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_History,DWH_dbo.Dim_Instrument,lineage,InstrumentType <- InstrumentType,Passthrough,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_History.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_History,ABook,lineage,DATE <- Date,Trading date,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_History.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_History,ABook,lineage,NOP_unhedged/NOP/NOPHedged <- NOP calculations,Aggregated per instrument/server,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_History.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_History,ABook,lineage,All exposure metrics <- Position aggregations,"Long−Short NOP, Open positions",knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_History.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_History,ETL,lineage,UpdateDate <- —,Load timestamp,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_History.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_History,External_etoro_Trade_HedgeServer,references_to,HedgeServerID,"Hedge server configuration (IP, mode, strategy)",knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_History.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_History,DWH_dbo.Dim_Instrument,references_to,InstrumentID,"Instrument metadata (name, type, asset class)",knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_History.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_History,BI_DB_ABook_Exposure,references_to,Schema sibling,HedgeServerID-clustered current-state snapshot of this table,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_History.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_History,BI_DB_ABook_Exposure_NOPHedged,references_to,Active successor,Active exposure table with liquidity account detail (hourly UC pipeline),knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_History.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_NOPHedged,External_etoro_Hedge_HedgeServerToLiquidityAccount,common_join,`ON n.LiquidityAccountID = m.LiquidityAccountID`,"LP account details (AltRatesLiquidityAccountID, temporal fields)",knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_NOPHedged,External_etoro_Trade_HedgeServer,common_join,`ON n.HedgeServerID = hs.HedgeServerID`,Hedge server name and configuration,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_NOPHedged,DWH_dbo.Dim_Instrument,common_join,`ON n.InstrumentID = di.InstrumentID`,Full instrument metadata (InstrumentName truncated to 45 chars in this table),knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_NOPHedged,DWH_dbo.Dim_Instrument,common_join,`ON n.InstrumentID_Final = di.InstrumentID`,Metadata for the actual hedged instrument,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_NOPHedged,BI_DB_ABook_Exposure_History,common_join,`ON n.HedgeServerID = h.HedgeServerID AND n.InstrumentID = h.InstrumentID AND h.DATE = @date`,Historical comparison (if History table is ever populated),knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.md,BI_DB_dbo
BI_DB_dbo.BI_DB_ABook_Exposure_NOPHedged,ABook,lineage,Date <- Date,Trading date,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ABook_Exposure_NOPHedged.md,BI_DB_dbo
