table_schema,table_name,empty_cols
bi_output,vg_fact_snapshotcustomer_for_emoney_genie,9
bi_output,vg_promo_card_cashback,9
bi_output,bi_output_finance_tables_bi_db_positions_opened_from_iban,8
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_positionhedgeserverchangelog_snapshot,8
etoro_kpi_prep,v_mimo_emoneyplatform,8
bi_output,bi_output_vg_ddr_customers_snapshot,8
bi_output,bi_output_urban_notifications_monthly_lsd,8
bi_output,bi_output_regtechops_wash_trading_alerts_daily,8
bi_output,bi_output_customer_customer_support_csat,8
bi_output,vg_positionsvolumeandattributes_lc4_source,8
bi_output,bi_output_vg_customer_snapshot,8
etoro_kpi,vg_customer_daily_snapshot,7
dwh,gold_sql_dp_prod_we_dwh_dbo_val_fcv_closingbalance,7
dwh,gold_sql_dp_prod_we_dwh_dbo_val_fcv_openingbalance,7
bi_output,bi_output_finance_tables_bi_db_positions_closed_to_iban,6
etoro_kpi_prep,gold_de_user_dim_ddr_customer_dailystatus_scd,6
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzeropnl_stocks,6
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzero_treesize_new,6
bi_output,bi_output_finance_tables_share_lending_aggregate,6
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_getspreadedpriceusdconversionrate,6
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_appflyer_reports,6
bi_output,bi_output_customer_compliance_uk_social_activity_monitoring,6
bi_output,bi_output_vg_volume_amount,6
bi_output,bi_output_vg_parentcid,6
bi_output,bi_output_customer_customer_support_salesforce_reply,6
bi_output,positionsvolumeandattributes_lc4_source,6
bi_output,vg_emoney_potentialclients_attributes,6
etoro_kpi,vg_customer_monthly_snapshot,6
bi_output,bi_output_vg_customer_assignment,6
bi_output,bi_output_vg_club_offers,6
bi_output,bi_output_vg_club,6
etoro_kpi,ddr_aum_v,5
etoro_kpi_prep,v_trading_volume_and_amount,5
bi_output,bi_output_customer_ddr_revenue_metrics,5
bi_output,bi_output_dealing_markit_ca_stockdiv_spinoff_mapping,5
bi_output,vg_payments_mimo_basedonddrallplatfrommimo_for_genie,5
bi_db,gold_fivetran_google_sheets_aml_exluded_players,5
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycommisionreport,4
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_copydailydata,4
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_daily_dividends,4
etoro_kpi_prep,v_dim_dataplatform_uuid,4
bi_output,bi_output_marketing_acquisition_demo,4
etoro_kpi_prep,v_mimo_tradingplatform,4
bi_db,metricviewpoc,4
bi_output,bi_output_customer_customer_facing_pageviews_behaviour,4
bi_output,bi_output_customer_customer_facing_triggers_lead_score,4
bi_output,bi_output_customer_customer_facing_triggers,4
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_daily_aggregated,4
dwh,gold_sql_dp_prod_we_dwh_dbo_fact_customerunrealized_pnl,4
etoro_kpi_stg,bi_output_vg_aum_slim,4
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl,4
bi_output,nmi_by_portfoliopi_new,4
bi_output,vg_payments_mimo_allplatformddr_genienew,4
bi_db,gold_opsdb_dbo_sedricfilelog,4
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_new_compensationbreakdown,3
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cross_selling_monthly,3
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop,3
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop_cid,3
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl_uk_custody_resolver,3
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl_eu_custody,3
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_spreadedpricecandle60minsplitted,3
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl_uk_custody,3
bi_db,gold_sql_dp_prod_we_bi_db_dbo_v_bi_db_outliers_new,3
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_social_activity,3
bi_db,gold_sql_dp_prod_we_bi_db_dbo_dwh_gaindaily,3
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_compensationreason,3
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_positionchangelog,3
dwh,gold_sql_dp_prod_we_dwh_dbo_fact_billingredeem,3
etoro_kpi_prep,v_fact_customeraction,3
etoro_kpi_prep,v_fact_customeraction_enriched,3
etoro_kpi,vg_dealing_clicks_openclose_breakdown,3
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycopyrevenue,3
bi_output,bi_output_marketing_affiliate_payments_report_closed_position,3
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_instrument,3
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_asic_clientbalancefinance,3
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_daily_nwa,3
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily,3
bi_output,bi_output_customer_compliance_uk_social_activity_monitoring_m,3
bi_output,bi_output_moneyfarm_fact_portfolio_snapshot,3
dwh,gold_sql_dp_prod_we_dwh_dbo_fact_firstcustomeraction,3
etoro_kpi_stg,ddr_revenue_dor,3
etoro_kpi_stg,bi_output_vg_revenue_slim,3
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_aggregate_level_new,3
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ops_verificationpipeline_overlevel2,3
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_outliers_new,3
bi_output,bi_output_customer_customer_support_aml_handling_days,3
bi_output,bi_output_customer_external_table_club_equity,3
bi_output,positive_nmi_commodities,3
bi_output,positive_nmi,3
bi_output,negative_nmi,3
bi_output,vg_fullbincodelist,3
bi_output,vg_trades,3
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_depositwithdrawfee,3
bi_db,gold_sql_dp_prod_we_exw_dbo_exw_c2p_e2e,3
dwh,gold_sql_dp_prod_we_dwh_dbo_sts_user_operations_data_history,3
dwh,gold_sql_dp_prod_we_dwh_dbo_v_dim_mirror,3
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_country,2
dwh,gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,2
etoro_kpi,winback_daily_segments,2
bi_db,gold_sql_dp_prod_we_dealing_dbo_dealing_duco_eodrecon,2
bi_db,gold_sql_dp_prod_we_emoney_dbo_emoney_dim_account,2
bi_output,bi_output_marketing_liveacquisitiondashboard,2
etoro_kpi_prep,v_mimo_optionsplatform,2
etoro_kpi_prep,v_population_otd_daterange,2
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_first5actions,2
bi_db,poa_poi_rejection_v,2
bi_output,bi_output_customer_compliance_mas_daily_client_metrics,2
etoro_kpi,de_output_ftd_click,2
etoro_kpi,de_output_mixpanel_gcid_ftd_flow_steps,2
etoro_kpi,ddr_revenue_v,2
bi_output,vg_factbillingwithdraw_transactionsandattributes,2
bi_output,vg_fact_billingwithdraw_for_genie,2
bi_output,vg_fact_billingdepost_forgenie,2
bi_output,vg_factbillingdeposit_transactionsandattributes,2
bi_output,vg_fact_billingdepost_forgenie_new,2
etoro_kpi,positions_for_compliance_v,2
etoro_kpi,vg_ddr_revenue,2
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_sar_report_fca,2
dwh,test_sharing,2
dwh,gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotequity_fromdateid,2
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_compliance_illegal_trades_alerts,1
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_scored_appropriateness_negative_market,1
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_tax_compliance_tin,1
bi_output,bi_output_finance_tables_bi_db_positions_opened_from_iban_parquet,1
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_campaign,1
dwh,dim_position,1
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_accounttype,1
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_costconfigurationid,1
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_closepositionreason,1
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_cashoutfeegroup,1
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_accountstatus,1
dwh,gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,1
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_regulation,1
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_playerstatusreasons,1
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_screeningstatus,1
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_verificationlevel,1
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_cid_level,1
bi_db,gold_sql_dp_prod_we_emoney_dbo_emoney_dim_transaction,1
bi_output,bi_output_finance_tables_bi_db_sharelending_price_estimated,1
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_language,1
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_playerlevel,1
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,1
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_paymentstatus,1
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_mifidcategorization,1
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_executionoperationtype,1
dwh,gold_sql_dp_prod_we_dwh_dbo_dim_customerchangetype,1
etoro_kpi_prep,v_revenue_optionsplatform,1
etoro_kpi_prep,v_mimo_allplatforms,1
etoro_kpi_prep,v_population_balance_only_accounts,1
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_kyc_knowledge_assessment,1
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_investorsdetail,1
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,1
bi_output,bi_output_compliance_kycscreeninglimitation,1
bi_db,gold_sql_dp_prod_we_exw_dbo_exw_financereportsbalancesnew,1
etoro_kpi,ddr_mimo_v,1
bi_db,gold_sql_dp_prod_we_emoney_dbo_emoney_fact_transaction_status,1
bi_output,bi_output_operations_documentanalysis,1
bi_output,bi_output_marketing_sfmc_sfmc_filter,1
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidlevel_settlement_report,1
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_money_out_stpanalysis_ops_dashboard,1
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_money_out_new_management_dashboard,1
bi_output,vg_emoney_card_instance_summary,1
bi_output,current_table,1
bi_output,finance_tables_functions_revenue_sdrt,1
bi_output,vg_emoney_txs,1
bi_output,snapshot,1
bi_output,current,1
bi_output,snapshot_table,1
bi_output,funded,1
bi_output,limitation_to_normal_conversion,1
bi_output,vg_emoney_openbankingdeposit,1
etoro_kpi,v_spaceship_mimo,1
etoro_kpi,v_ddr_non_revenue_actions,1
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_revenue_generating_actions,1
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_trading_volumes_and_amounts,1
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_fact_customer_action_position_distribution,1
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_depositwithdrawfee_reversals,1
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_pnl,1
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_demo_cid_panel,1
bi_db,gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_mimo_allplatforms,1
bi_db,gold_sql_dp_prod_we_exw_dbo_exw_c2f_e2e,1
etoro_kpi,cfd_statusinfo_v,1
dwh,gold_sql_dp_prod_we_dwh_dbo_val_fcv_comovements,1
dwh,gold_sql_dp_prod_we_dwh_dbo_val_fcv_movementsum,1
etoro_kpi,cidfirstdates_v,1
