uc_fqn,empty_cols,wiki_path,wiki_cols_in_section4
main.bi_output.bi_output_urban_notifications_daily_panel,27,,0
main.bi_output.bi_output_dealing_tables_bi_db_latency_compensation,27,,0
main.bi_output.bi_output_finance_tables_bi_db_sharelending_custodyreconciliation_uk,26,,0
main.bi_output.bi_output_customer_customer_support_task,26,,0
main.bi_output.bi_output_customer_customer_support_live_chat_transcript,26,,0
main.bi_db.bi_output_compliance_illegal_trades_alerts_test,25,,0
main.bi_output.bi_output_finance_tables_bi_db_sharelending_reconciliation,25,,0
main.bi_output.bi_output_vg_case,25,,0
main.bi_output.bi_output_customer_customer_facing_club_club_offer_eligibilty,24,,0
main.bi_output.vg_positions_open_closed_iban_tp,24,,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_getspreadedpricecandle60minsplitted,23,,0
main.bi_output.bi_output_customer_customer_facing_club_loyalty_offer_request,23,,0
main.bi_output.bi_output_customer_customer_support_customer_engagement,23,,0
main.bi_output.bi_output_finance_tables_bi_db_sharelending_custodyreconciliation_eu,22,,0
main.etoro_kpi_prep.v_ddr_revenues,22,,0
main.bi_output.bi_output_customer_investment_capital_guarantee_capital_guarantee_q42024_global,22,,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_sfmc_report_archive,21,,0
main.bi_output.bi_output_deltaapp_subscription_view,21,,0
main.bi_output.bi_output_finance_tables_tax_ptp_monitoring,20,,0
main.bi_output.bi_output_customer_compliance_mas_population,20,,0
main.etoro_kpi_stg.ddr_customersnapshot_dor,19,,0
main.bi_output.bi_output_vg_crm_user,19,,0
main.bi_output.bi_output_finance_tables_bi_db_sharelending_loansandcollateraluk,18,,0
main.bi_db.gold_bi_db_bi_db_positionpnl,18,,0
main.bi_output.bi_output_finance_tables_bi_db_sharelending_loansandcollateralmain,17,,0
main.bi_output.bi_output_finance_tables_bi_db_sharelending_loansandcollateraleu,17,,0
main.etoro_kpi_prep.__materialization_mat_5117375b_0b8d_434e_a2d1_fd7665b17686_mv_revenue_trading_1,16,,0
main.bi_output.bi_output_finance_tables_ptp_tax,16,,0
main.bi_output.bi_output_finance_tables_ptp_tax_backup,16,,0
main.bi_output.bi_output_customer_customer_facing_club_club_equity,16,,0
main.bi_output.bi_output_wf_view,16,,0
main.bi_output.bi_output_customer_customer_facing_survey,15,,0
main.bi_output.bi_output_marketing_sfmc_sfmc_report,15,,0
main.bi_output.bi_output_customer_social_social_feed,15,,0
main.bi_output.bi_output_customer_customer_support_case_event,15,,0
main.bi_output.bi_ouput_mvg_etoro_emoney,14,,0
main.etoro_kpi_stg.v_marketing_campaigns_google,14,,0
main.bi_db.gold_fivetran_google_sheets_real_future_fees,14,,0
main.bi_output.bi_output_urban_notifications_daily_panel_agg,13,,0
main.bi_output.bi_output_customer_external_table_isa,13,,0
main.bi_output.v_external_france_wealth_contracts_transactions,13,,0
main.bi_db.gold_prarsed_data,13,,0
main.bi_output.bi_ouput_vg_etoro_emoney,12,,0
main.bi_output.bi_output_dealing_markit_ca_stockdiv_spinoff_report,12,,0
main.bi_output.vg_positionsvolumeandattributes_lc4_source_test1,12,,0
main.bi_db.gold_rnd_experience_fivetran_google_sheets_ltv_by_leadscore_combinations,12,,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_util_resultssourcetotarget_actions,12,,0
main.bi_output.bi_output_finance_tables_all_trades_pivoted_net_vol,11,,0
main.bi_output.bi_output_finance_tables_bi_db_hedge_nettingbalance,11,,0
main.bi_output.bi_output_customer_customer_facing_am_survey,11,,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_playerstatus,10,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerStatus.md,0
main.etoro_kpi_prep.event_log_5117375b_0b8d_434e_a2d1_fd7665b17686,10,,0
main.bi_db.gold_sql_dp_prod_we_dealing_dbo_dealing_nop_report,10,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_NOP_Report.md,0
main.bi_output.bi_output_marketing_acquisition_anomaly,10,,0
main.bi_output.bi_output_customer_customer_facing_triggers_filtered,10,,0
main.bi_output.bi_output_vg_mimo,10,,0
main.bi_output.bi_output_vg_revenue,10,,0
main.bi_output.bi_output_vg_customer_snapshot_v2,10,,0
main.bi_output.bi_output_vg_copy_mimo,10,,0
main.bi_output.bi_output_vg_customer_first_dates,10,,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_cid_level_new,9,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Client_Balance_CID_Level_New.md,0
main.dwh.gold_inc_test_dwh_dbo_fact_billingredeem,9,,0
main.dwh.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_monthlypanel_fulldata,9,,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_instrument_correlation,9,knowledge/synapse/Wiki/DWH_dbo/Views/Dim_Instrument_Correlation.md,0
main.bi_output.bi_output_customer_customer_facing_agent_engagement,9,,0
main.bi_output.bi_output_vg_customer_snapshot_test,9,,0
main.bi_output.bi_output_marketing_marketingcloud_user_behavior_instrument,9,,0
main.bi_output.bi_output_vg_aum,9,,0
main.bi_output.bi_output_marketing_marketingcloud_user_behavior_pi,9,,0
main.bi_output.bi_output_marketing_marketingcloud_user_behavior_pi_v,9,,0
main.bi_output.bi_output_marketing_marketingcloud_user_behavior_instrument_v,9,,0
main.bi_output.vg_fact_snapshotcustomer_for_emoney_genie,9,,0
main.bi_output.vg_promo_card_cashback,9,,0
main.bi_output.bi_output_finance_tables_bi_db_positions_opened_from_iban,8,,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_positionhedgeserverchangelog_snapshot,8,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PositionHedgeServerChangeLog_Snapshot.md,0
main.etoro_kpi_prep.v_mimo_emoneyplatform,8,,0
main.bi_output.bi_output_vg_ddr_customers_snapshot,8,,0
main.bi_output.bi_output_urban_notifications_monthly_lsd,8,,0
main.bi_output.bi_output_regtechops_wash_trading_alerts_daily,8,,0
main.bi_output.bi_output_customer_customer_support_csat,8,,0
main.bi_output.vg_positionsvolumeandattributes_lc4_source,8,,0
main.bi_output.bi_output_vg_customer_snapshot,8,,0
main.etoro_kpi.vg_customer_daily_snapshot,7,,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_val_fcv_closingbalance,7,,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_val_fcv_openingbalance,7,,0
main.bi_output.bi_output_finance_tables_bi_db_positions_closed_to_iban,6,,0
main.etoro_kpi_prep.gold_de_user_dim_ddr_customer_dailystatus_scd,6,,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzeropnl_stocks,6,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DailyZeroPnL_Stocks.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailyzero_treesize_new,6,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DailyZero_TreeSize_NEW.md,0
main.bi_output.bi_output_finance_tables_share_lending_aggregate,6,,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_getspreadedpriceusdconversionrate,6,,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_appflyer_reports,6,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AppFlyer_Reports.md,0
main.bi_output.bi_output_customer_compliance_uk_social_activity_monitoring,6,,0
main.bi_output.bi_output_vg_volume_amount,6,,0
main.bi_output.bi_output_vg_parentcid,6,,0
main.bi_output.bi_output_customer_customer_support_salesforce_reply,6,,0
main.bi_output.positionsvolumeandattributes_lc4_source,6,,0
main.bi_output.vg_emoney_potentialclients_attributes,6,,0
main.etoro_kpi.vg_customer_monthly_snapshot,6,,0
main.bi_output.bi_output_vg_customer_assignment,6,,0
main.bi_output.bi_output_vg_club_offers,6,,0
main.bi_output.bi_output_vg_club,6,,0
main.etoro_kpi.ddr_aum_v,5,,0
main.etoro_kpi_prep.v_trading_volume_and_amount,5,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Trading_Volume.md,27
main.bi_output.bi_output_customer_ddr_revenue_metrics,5,,0
main.bi_output.bi_output_dealing_markit_ca_stockdiv_spinoff_mapping,5,,0
main.bi_output.vg_payments_mimo_basedonddrallplatfrommimo_for_genie,5,,0
main.bi_db.gold_fivetran_google_sheets_aml_exluded_players,5,,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycommisionreport,4,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DailyCommisionReport.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_copydailydata,4,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CopyDailyData.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_daily_dividends,4,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Daily_Dividends.md,0
main.etoro_kpi_prep.v_dim_dataplatform_uuid,4,,0
main.bi_output.bi_output_marketing_acquisition_demo,4,,0
main.etoro_kpi_prep.v_mimo_tradingplatform,4,,0
main.bi_db.metricviewpoc,4,,0
main.bi_output.bi_output_customer_customer_facing_pageviews_behaviour,4,,0
main.bi_output.bi_output_customer_customer_facing_triggers_lead_score,4,,0
main.bi_output.bi_output_customer_customer_facing_triggers,4,,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_daily_aggregated,4,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_Daily_Aggregated.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customerunrealized_pnl,4,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerUnrealized_PnL.md,0
main.etoro_kpi_stg.bi_output_vg_aum_slim,4,,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl,4,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_PositionPnL.md,0
main.bi_output.nmi_by_portfoliopi_new,4,,0
main.bi_output.vg_payments_mimo_allplatformddr_genienew,4,,0
main.bi_db.gold_opsdb_dbo_sedricfilelog,4,,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_new_compensationbreakdown,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Client_New_CompensationBreakdown.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cross_selling_monthly,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Cross_Selling_Monthly.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Crypto_NOP.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_crypto_nop_cid,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Crypto_NOP_CID.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl_uk_custody_resolver,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_PositionPnL_UK_Custody_Resolver.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl_eu_custody,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_PositionPnL_EU_Custody.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_spreadedpricecandle60minsplitted,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_SpreadedPriceCandle60MinSplitted.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_positionpnl_uk_custody,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_PositionPnL_UK_Custody.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_v_bi_db_outliers_new,3,knowledge/synapse/Wiki/BI_DB_dbo/Views/V_BI_DB_Outliers_New.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_social_activity,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Social_Activity.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_dwh_gaindaily,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/DWH_GainDaily.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_compensationreason,3,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CompensationReason.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_positionchangelog,3,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PositionChangeLog.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingredeem,3,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingRedeem.md,0
main.etoro_kpi_prep.v_fact_customeraction,3,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.md,0
main.etoro_kpi_prep.v_fact_customeraction_enriched,3,,0
main.etoro_kpi.vg_dealing_clicks_openclose_breakdown,3,,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_dailycopyrevenue,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DailyCopyRevenue.md,0
main.bi_output.bi_output_marketing_affiliate_payments_report_closed_position,3,,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_instrument,3,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Instrument.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_asic_clientbalancefinance,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_ASIC_ClientBalanceFinance.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cid_daily_nwa,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CID_Daily_NWA.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_MarketingCloudDaily.md,0
main.bi_output.bi_output_customer_compliance_uk_social_activity_monitoring_m,3,,0
main.bi_output.bi_output_moneyfarm_fact_portfolio_snapshot,3,,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_firstcustomeraction,3,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_FirstCustomerAction.md,0
main.etoro_kpi_stg.ddr_revenue_dor,3,,0
main.etoro_kpi_stg.bi_output_vg_revenue_slim,3,,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_client_balance_aggregate_level_new,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Client_Balance_Aggregate_Level_New.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ops_verificationpipeline_overlevel2,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_OPS_VerificationPipeline_OverLevel2.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_outliers_new,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Outliers_New.md,0
main.bi_output.bi_output_customer_customer_support_aml_handling_days,3,,0
main.bi_output.bi_output_customer_external_table_club_equity,3,,0
main.bi_output.positive_nmi_commodities,3,,0
main.bi_output.positive_nmi,3,,0
main.bi_output.negative_nmi,3,,0
main.bi_output.vg_fullbincodelist,3,,0
main.bi_output.vg_trades,3,,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_depositwithdrawfee,3,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DepositWithdrawFee.md,0
main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_c2p_e2e,3,knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_C2P_E2E.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_sts_user_operations_data_history,3,knowledge/synapse/Wiki/DWH_dbo/Tables/STS_User_Operations_Data_History.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_dim_mirror,3,knowledge/synapse/Wiki/DWH_dbo/Views/v_Dim_Mirror.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_country,2,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Country.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_customeraction,2,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_CustomerAction.md,0
main.etoro_kpi.winback_daily_segments,2,,0
main.bi_db.gold_sql_dp_prod_we_dealing_dbo_dealing_duco_eodrecon,2,knowledge/synapse/Wiki/Dealing_dbo/Tables/Dealing_Duco_EODRecon.md,0
main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_dim_account,2,knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Dim_Account.md,0
main.bi_output.bi_output_marketing_liveacquisitiondashboard,2,,0
main.etoro_kpi_prep.v_mimo_optionsplatform,2,,0
main.etoro_kpi_prep.v_population_otd_daterange,2,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Population_OTD_DateRange.md,3
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_first5actions,2,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_First5Actions.md,0
main.bi_db.poa_poi_rejection_v,2,,0
main.bi_output.bi_output_customer_compliance_mas_daily_client_metrics,2,,0
main.etoro_kpi.de_output_ftd_click,2,,0
main.etoro_kpi.de_output_mixpanel_gcid_ftd_flow_steps,2,,0
main.etoro_kpi.ddr_revenue_v,2,,0
main.bi_output.vg_factbillingwithdraw_transactionsandattributes,2,,0
main.bi_output.vg_fact_billingwithdraw_for_genie,2,,0
main.bi_output.vg_fact_billingdepost_forgenie,2,,0
main.bi_output.vg_factbillingdeposit_transactionsandattributes,2,,0
main.bi_output.vg_fact_billingdepost_forgenie_new,2,,0
main.etoro_kpi.positions_for_compliance_v,2,,0
main.etoro_kpi.vg_ddr_revenue,2,,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_aml_sar_report_fca,2,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_AML_SAR_Report_FCA.md,0
main.dwh.test_sharing,2,,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotequity_fromdateid,2,knowledge/synapse/Wiki/DWH_dbo/Views/V_Fact_SnapshotEquity_FromDateID.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_compliance_illegal_trades_alerts,1,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Compliance_Illegal_Trades_Alerts.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_scored_appropriateness_negative_market,1,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Scored_Appropriateness_Negative_Market.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_tax_compliance_tin,1,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Tax_Compliance_TIN.md,0
main.bi_output.bi_output_finance_tables_bi_db_positions_opened_from_iban_parquet,1,,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_campaign,1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Campaign.md,0
main.dwh.dim_position,1,,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_accounttype,1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_AccountType.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_costconfigurationid,1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CostConfigurationId.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_closepositionreason,1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ClosePositionReason.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_cashoutfeegroup,1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CashoutFeeGroup.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_accountstatus,1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_AccountStatus.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_fact_billingdeposit,1,knowledge/synapse/Wiki/DWH_dbo/Tables/Fact_BillingDeposit.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_regulation,1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Regulation.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_playerstatusreasons,1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerStatusReasons.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_screeningstatus,1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ScreeningStatus.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_verificationlevel,1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_VerificationLevel.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_cid_level,1,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_DDR_CID_Level.md,0
main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_dim_transaction,1,knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Dim_Transaction.md,0
main.bi_output.bi_output_finance_tables_bi_db_sharelending_price_estimated,1,,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_language,1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_Language.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_playerlevel,1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PlayerLevel.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,1,,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_paymentstatus,1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_PaymentStatus.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_mifidcategorization,1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_MifidCategorization.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_executionoperationtype,1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_ExecutionOperationType.md,0
main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customerchangetype,1,knowledge/synapse/Wiki/DWH_dbo/Tables/Dim_CustomerChangeType.md,0
main.etoro_kpi_prep.v_revenue_optionsplatform,1,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Revenue_OptionsPlatform.md,26
main.etoro_kpi_prep.v_mimo_allplatforms,1,,0
main.etoro_kpi_prep.v_population_balance_only_accounts,1,knowledge/synapse/Wiki/BI_DB_dbo/Functions/Function_Population_Balance_Only_Accounts.md,2
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_kyc_knowledge_assessment,1,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_KYC_Knowledge_Assessment.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_investorsdetail,1,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_InvestorsDetail.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_marketingclouddaily_v,1,knowledge/synapse/Wiki/BI_DB_dbo/Views/BI_DB_MarketingCloudDaily_V.md,0
main.bi_output.bi_output_compliance_kycscreeninglimitation,1,,0
main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_financereportsbalancesnew,1,knowledge/synapse/Wiki/EXW_dbo/Tables/EXW_FinanceReportsBalancesNew.md,0
main.etoro_kpi.ddr_mimo_v,1,,0
main.bi_db.gold_sql_dp_prod_we_emoney_dbo_emoney_fact_transaction_status,1,knowledge/synapse/Wiki/eMoney_dbo/Tables/eMoney_Fact_Transaction_Status.md,0
main.bi_output.bi_output_operations_documentanalysis,1,,0
main.bi_output.bi_output_marketing_sfmc_sfmc_filter,1,,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_cidlevel_settlement_report,1,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_CIDLevel_Settlement_Report.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_money_out_stpanalysis_ops_dashboard,1,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Money_Out_STPAnalysis_OPS_Dashboard.md,0
main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_money_out_new_management_dashboard,1,knowledge/synapse/Wiki/BI_DB_dbo/Tables/BI_DB_Money_Out_New_Management_Dashboard.md,0
main.bi_output.vg_emoney_card_instance_summary,1,,0
main.bi_output.current_table,1,,0
main.bi_output.finance_tables_functions_revenue_sdrt,1,,0
main.bi_output.vg_emoney_txs,1,,0
main.bi_output.snapshot,1,,0
main.bi_output.current,1,,0
main.bi_output.snapshot_table,1,,0
main.bi_output.funded,1,,0
main.bi_output.limitation_to_normal_conversion,1,,0
main.bi_output.vg_emoney_openbankingdeposit,1,,0
main.etoro_kpi.v_spaceship_mimo,1,,0
main.etoro_kpi.v_ddr_non_revenue_actions,1,,0
