schema,object_name,object_type,priority,process_name,is_active,archetype,archetype_label,confidence,n_destinations,destination_tables,dest_customer_keys,dest_money_cols,dest_count_cols,dest_dim_cols,dest_txn_cols,dest_pop_flag_cols,has_validity_filter,validity_evidence,has_population_filter,population_evidence,has_group_by_customer_key,group_by_evidence,touches_fact_snapshot_customer,touches_dim_customer,recommended_action,key_insight,file_path
BI_DB_dbo,SP_CID_DailyCopyRevenue,SP,20,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,BI_DB_dbo.BI_DB_DailyCopyRevenue,,"Revenue_CFD_Crypto, Revenue_CFD_Stocks, Revenue_Comm, Revenue_Copy, Revenue_FX, Revenue_Ind, Revenue_Real_Crypto, Revenue_Real_Stocks",,CountryID,,,1,L54: AND IsValidCustomer = 1;,1,L53: WHERE IsDepositor = 1,0,,1,0,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_CID_DailyCopyRevenue.sql
BI_DB_dbo,SP_CryptoDashboard,SP,20,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,[BI_DB_dbo].[BI_DB_Crypto_Dashboard],,"PnL, Revenue",,"Country, Crypto",,Regulation,1,L44: WHERE fsc.IsValidCustomer=1,1,L45: AND fsc.IsDepositor=1,1,L183: GROUP BY ffca.RealCID,1,0,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_CryptoDashboard.sql
BI_DB_dbo,SP_InstrumentsAlerts,SP,20,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,[BI_DB_dbo].[BI_DB_InstrumentsAlerts],,,,"Exchange, InstrumentID",,"FirstAction, FirstInstrument",1,L246: AND dc.IsValidCustomer = 1,1,L245: AND dc.IsDepositor = 1,0,,0,1,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_InstrumentsAlerts.sql
BI_DB_dbo,SP_M_Subsidieries_Realized_Commissions_Adjustments,SP,20,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,BI_DB_dbo.[BI_DB_Subsidieries_Realized_Commissions_Adjustments],,"CommissionByUnits, CommissionOnClose, FullCommissionByUnits, FullCommissionOnClose",,"InstrumentType, IsSettled, RegulationOnClose, RegulationOnOpen",,,1,"L43: , CASE WHEN fsc.IsCreditReportValidCB = 1 THEN 'CreditValidClose' ELSE 'CreditInvalidClose' END AS CreditValidClose",0,,0,,1,0,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_M_Subsidieries_Realized_Commissions_Adjustments.sql
BI_DB_dbo,SP_M_UK_CommissionReport_byLeverage,SP,20,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,[BI_DB_dbo].[BI_DB_UK_CommissionReport_byLeverage],,Commission,,"InstrumentType, Leverage, Region",,Regulation,1,L71: AND IsValidCustomer = 1,0,,0,,0,1,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_M_UK_CommissionReport_byLeverage.sql
BI_DB_dbo,SP_MifidAccountType_Count,SP,20,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,BI_DB_dbo.BI_DB_MifidAccountType_Count,,,,"Country, MifidCategorization, Region",,Regulation,1,L31: WHERE dc.IsValidCustomer=1,0,,0,,0,1,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_MifidAccountType_Count.sql
BI_DB_dbo,SP_NOP_TradingActivity_Risk_Daily,SP,20,SB_Daily,0,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,2,BI_DB_dbo.[BI_DB_TradingActivity_Risk_Daily]; BI_DB_dbo.[BI_DB_NOP_Risk_Daily],,,,"InstrumentID, InstrumentType, IsSettled",,,1,L49: er fsc ON fsc.RealCID=dp.CID AND fsc.IsValidCustomer=1,0,,0,,1,0,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_NOP_TradingActivity_Risk_Daily.sql
BI_DB_dbo,SP_Regulation_Change_Abuse,SP,20,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,BI_DB_dbo.BI_DB_Regulation_Change_Abuse_Categories,,,,"Country, Region",,"FTDMonthYear, PlayerStatus, Regulation",1,L35: WHERE dc.IsValidCustomer = 1,1,L36: AND dc.IsDepositor = 1,1,L118: GROUP BY r.CID,1,1,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_Regulation_Change_Abuse.sql
BI_DB_dbo,SP_Risk_Capital_Adequacy,SP,20,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,3,BI_DB_dbo.BI_DB_Capital_Adequacy_Monthly_NOP; BI_DB_dbo.BI_DB_Capital_Adequacy_Daily_Equity; BI_DB_dbo.BI_DB_Capital_Adequacy_Daily_NOP_KASA,,"Total_NOP, Unrealized_Equity",,"InstrumentType, IsFuture, MifidCategorization",,Regulation,1,L45: D fsc.VerificationLevelID >= 2 AND fsc.IsCreditReportValidCB=1,0,,1,L116: GROUP BY pnl.CID,1,0,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_Risk_Capital_Adequacy.sql
BI_DB_dbo,SP_Transactions_Per_Time_Unit,SP,20,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,BI_DB_dbo.BI_DB_Transactions_Per_Time_Unit,,,,,,,1,L158: WHERE dc.IsValidCustomer=1 AND dc.IsDepositor=1 AND dc.VerificationLevelID=3,1,L158: WHERE dc.IsValidCustomer=1 AND dc.IsDepositor=1 AND dc.VerificationLevelID=3,0,,1,1,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_Transactions_Per_Time_Unit.sql
BI_DB_dbo,SP_US_Stocks_MAU_DAU_KPI,SP,20,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,BI_DB_dbo.BI_DB_US_Stocks_MAU_DAU_KPI,,,,"CryptoPotential, Daily_RealCrypto_Activity, Daily_RealStocks_Activity, Monthly_RealCrypto_Activity, Monthly_RealStocks_Activity",,,1,"L125: WHERE fsc.IsValidCustomer=1 AND fsc.RegulationID IN (7,8) AND fsc.IsDepositor=1 AND fsc.VerificationLevelID",1,"L125: 1 AND fsc.RegulationID IN (7,8) AND fsc.IsDepositor=1 AND fsc.VerificationLevelID=3",1,L50: GROUP BY dp.CID ,1,0,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_US_Stocks_MAU_DAU_KPI.sql
Dealing_dbo,SP_CFDs_Stocks_Credit_Risk,SP,20,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,Dealing_dbo.Dealing_CFDs_Stocks_Credit_Risk,,"Clients_NOP, Commissions30Days, LP_NOP",,"InstrumentID, InstrumentName, InstrumentType",,,1,L156: WHERE bdppl.DateID=@DateID AND dc.IsValidCustomer=1,0,,0,,0,1,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\Dealing_dbo\Stored Procedures\Dealing_dbo.SP_CFDs_Stocks_Credit_Risk.sql
Dealing_dbo,SP_DealingDashboard_Clients,SP,20,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,2,[Dealing_dbo].[Dealing_DealingDashboard_Clients]; [Dealing_dbo].[Dealing_NumberofPositionsOpened_Agg],,"Dividend, FullCommission, FullCommissionOnClose, FullCommissionOnOpen, OverNightFee_Long, OverNightFee_Short, TicketFees, VariableSpread",,"Country, Exchange, HedgeServerID, InstrumentID, InstrumentName, InstrumentType, IsCFD, IsCopy",,Regulation,1,L51: WHERE b.IsValidCustomer = 1,0,,0,,1,0,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\Dealing_dbo\Stored Procedures\Dealing_dbo.SP_DealingDashboard_Clients.sql
Dealing_dbo,SP_Employee_Zero_StocksETFs,SP,20,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,[Dealing_dbo].Dealing_Employee_Zero_StocksETFs,,,,"InstrumentID, InstrumentType",,,0,,1,L26: and PlayerStatusID !=2,0,,1,0,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\Dealing_dbo\Stored Procedures\Dealing_dbo.SP_Employee_Zero_StocksETFs.sql
Dealing_dbo,SP_GS_Credit_Risk,SP,20,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,Dealing_dbo.Dealing_GS_Credit_Risk,,"Clients_NOP, LP_NOP",,"InstrumentID, InstrumentName, InstrumentType",,,1,L148: WHERE bdppl.DateID=@DateID AND dc.IsValidCustomer=1,0,,0,,0,1,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\Dealing_dbo\Stored Procedures\Dealing_dbo.SP_GS_Credit_Risk.sql
Dealing_dbo,SP_JP_Credit_Risk,SP,20,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,Dealing_dbo.Dealing_JP_Credit_Risk,,"Clients_NOP, LP_NOP",,"HedgeServerID, InstrumentID, InstrumentName, InstrumentType",,,1,L182: WHERE bdppl.DateID=@DateID AND dc.IsValidCustomer=1,0,,0,,0,1,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\Dealing_dbo\Stored Procedures\Dealing_dbo.SP_JP_Credit_Risk.sql
Dealing_dbo,SP_MIMO_Zero,SP,20,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,[Dealing_dbo].[Dealing_MIMO_Zero],,"AvgRateDeposits, AvgRateWithdraws, RateEndDay, RateStartDay",,CurrencyID,,,1,L111: AND IsValidCustomer=1,0,,0,,0,0,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\Dealing_dbo\Stored Procedures\Dealing_dbo.SP_MIMO_Zero.sql
Dealing_dbo,SP_NOPDistribution,SP,20,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,[Dealing_dbo].Dealing_NOPDistribution,,,,"InstrumentID, InstrumentType, SymbolFull",,,1,L49: WHERE (dc.IsValidCustomer=1 OR dc.AccountTypeID=9),0,,0,,1,0,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\Dealing_dbo\Stored Procedures\Dealing_dbo.SP_NOPDistribution.sql
Dealing_dbo,SP_Slippage_Report,SP,20,SB_Daily,0,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,4,Dealing_dbo.Dealing_Daily_Slippage_Totals; Dealing_dbo.Dealing_Daily_Slippage_Positions; Dealing_dbo.Dealing_Daily_Slippage_Totals_TriggerVSReceived; Dealing_dbo.Dealing_Daily_Slippage_Positions_TriggerVSReceived,CID,"AmountInUnitsDecimal, ClientViewRate, ConversionRate, CustomerChosenRate, EndForexRate, ExecutionAmountInUnits, LimitRate, StopRate",,"ActionTypeID, HedgeServerID, InstrumentID, InstrumentName, InstrumentType, InstrumentTypeID, IsBuy, IsSettled","Occurred, PositionID, RequestOccurred_SlippageInDollar, RequestOccurred_SlippageInPips","Regulation, WithinFirst5Minutes_MarketHours",1,L195: AND CC.IsValidCustomer = 1,0,,0,,1,1,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\Dealing_dbo\Stored Procedures\Dealing_dbo.SP_Slippage_Report.sql
BI_DB_dbo,SP_CMR_Automation_Phase2_FinraGap,SP,15,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,1,BI_DB_dbo.BI_DB_CMR_Phase2_FinraGap,,,,,,,1,L242: AND a.IsCreditReportValidCB = 1,0,,0,,0,0,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_CMR_Automation_Phase2_FinraGap.sql
Dealing_dbo,SP_IntraHourIndexReport,SP,1,SB_Daily,1,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,2,[Dealing_dbo].[Dealing_IndiciesIntraHour_Clients]; [Dealing_dbo].[Dealing_IndiciesIntraHour_Etoro],,Units_NOP,,"HedgeServerID, InstrumentID, LiquidityAccountID, LiquidityAccountName",,,1,L295: AND dc.IsValidCustomer=1,0,,0,,0,1,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\Dealing_dbo\Stored Procedures\Dealing_dbo.SP_IntraHourIndexReport.sql
BI_DB_dbo,SP_AML_Affiliate_Abuse,SP,0,SB_Daily,0,C,Dim-grain rollup with validity gate (REGULATOR-RISK),high,5,BI_DB_dbo.BI_DB_AML_Affiliate_Abuse_SameIP; BI_DB_dbo.BI_DB_AML_Affiliate_Abuse_SameDeviceID; BI_DB_dbo.BI_DB_AML_Affiliate_Abuse_Aff_data; BI_DB_dbo.BI_DB_AML_Affiliate_Abuse_Users; BI_DB_dbo.BI_DB_AML_Affiliate_Abuse_Agg,CID,"Approved_Deposits, NetRevenues, PositionPnL, Profitability, RealizedEquity, TotalEquity, Unapproved_Deposits","Count_Positions_30, TotalClients","Country, Region",,"EOM_FTD, FTDs, FirstAction, FirstActionDate, FirstDepositAmount, FirstDepositDate, FirstInstrument, IsDepositor",0,,1,"L107: ,CASE WHEN dc.PlayerStatusID NOT IN (1,5) THEN 1 ELSE 0 END AS Is_Blocked",0,,0,1,decide-IsValidCustomer-policy-for-synthetics (REGULATOR RISK),dim-grain rollup gated on IsValidCustomer/population — REGULATOR-RISK class,C:\Users\guyman\Documents\github\DataPlatform\SynapseSQLPool1\sql_dp_prod_we\BI_DB_dbo\Stored Procedures\BI_DB_dbo.SP_AML_Affiliate_Abuse.sql
