referring_schema,referring_name,referring_type,referenced_table_bare,sample_match
BI_DB_dbo,Function_Revenue_ConversionFee_WithPositionData,SQL_INLINE_TABLE_VALUED_FUNCTION,BI_DB_Positions_Opened_From_IBAN,thdraw' 		LEFT JOIN BI_DB_dbo.BI_DB_Positions_Opened_From_IBAN bdpofi 			ON fca.DepositID = 
BI_DB_dbo,Function_Revenue_ConversionFee_WithPositionData,SQL_INLINE_TABLE_VALUED_FUNCTION,BI_DB_Positions_Closed_To_IBAN,positID 		LEFT JOIN BI_DB_dbo.BI_DB_Positions_Closed_To_IBAN bdpcti 			ON fca.WithdrawPaym
BI_DB_dbo,SP_Finance_ASIC_MP,SQL_STORED_PROCEDURE,BI_DB_Finance_ASIC_MP,*****/ 	DELETE FROM BI_DB_dbo.BI_DB_Finance_ASIC_MP 	WHERE DateID = @DateID  	INS
BI_DB_dbo,SP_OPS_KYC_Verification,SQL_STORED_PROCEDURE,BI_DB_OPS_KYC_Verification,  TRUNCATE TABLE [BI_DB_dbo].[BI_DB_OPS_KYC_Verification]  INSERT INTO [BI_DB_dbo].[BI
BI_DB_dbo,SP_AM_Portfolio_Summary,SQL_STORED_PROCEDURE,BI_DB_AM_Portfolio_Summary,ata into Table [BI_DB].[dbo].[BI_DB_AM_Portfolio_Summary] - Used in tableau Reports fo
BI_DB_dbo,SP_AM_Portfolio_Summary,SQL_STORED_PROCEDURE,BI_DB_NewBonusReport,)      LEFT JOIN [BI_DB_dbo].[BI_DB_NewBonusReport] br WITH(NOLOCK)      ON     
BI_DB_dbo,SP_AM_Portfolio_Summary,SQL_STORED_PROCEDURE,BI_DB_UsageTracking_SF,)      LEFT JOIN [BI_DB_dbo].[BI_DB_UsageTracking_SF] sf WITH(NOLOCK)      ON     
BI_DB_dbo,SP_Reg_UK_Compliance_VolumeByInstrument,SQL_STORED_PROCEDURE,BI_DB_Reg_UK_Compliance_VolumeByInstrument, 	TRUNCATE TABLE [BI_DB_dbo].[BI_DB_Reg_UK_Compliance_VolumeByInstrument] 	INSERT INTO [BI_DB_dbo].[BI
BI_DB_dbo,SP_Capital_Guarantee,SQL_STORED_PROCEDURE,BI_DB_CIDFirstDates,Position AS dp JOIN BI_DB_dbo.BI_DB_CIDFirstDates AS fd ON fd.CID = dp.CID join
BI_DB_dbo,SP_IFR_KFactors_Automation_KDTF_Real,SQL_STORED_PROCEDURE,Dealing_ClientsCapitalAdequacy, Date) AS RN FROM Dealing_dbo.Dealing_ClientsCapitalAdequacy WHERE 1=1  AND Regulation IN 
BI_DB_dbo,SP_H_Money_Out_STPAnalysis_OPS_Dashboard,SQL_STORED_PROCEDURE,BI_DB_Money_Out_STPAnalysis_OPS_Dashboard,"e, dr.Name   DELETE BI_DB_dbo.BI_DB_Money_Out_STPAnalysis_OPS_Dashboard FROM BI_DB_dbo.BI_DB_Money_Ou"
Dealing_dbo,V_Dealing_DealingDashboard_Clients,VIEW,Dealing_DealingDashboard_Clients,select * from  [Dealing_dbo].[Dealing_DealingDashboard_Clients] with (nolock) 	where DateID 
BI_DB_dbo,SP_RBSF,SQL_STORED_PROCEDURE,BI_DB_Compliance_Restriction_Lists_CIDs,_id WHERE m.definition LIKE '%BI_DB_Compliance_Restriction_Lists_CIDs%'; */    IF OBJECT_ID('tempdb
BI_DB_dbo,SP_RBSF,SQL_STORED_PROCEDURE,BI_DB_Compliance_Restriction_Lists_Countries,AS SELECT *    FROM BI_DB_dbo.BI_DB_Compliance_Restriction_Lists_Countries bdcrlc WITH (NOLOCK)     WHER
BI_DB_dbo,SP_RBSF,SQL_STORED_PROCEDURE,BI_DB_Scored_Appropriateness_Negative_Market,aseBlockDateID FROM BI_DB_dbo.BI_DB_Scored_Appropriateness_Negative_Market bdsanm WHERE bdsanm.BlockReas
BI_DB_dbo,SP_RBSF,SQL_STORED_PROCEDURE,BI_DB_KYC_Panel,5_AnswerID     FROM BI_DB_dbo.BI_DB_KYC_Panel b     --WHERE b.RealCID = @ci
BI_DB_dbo,SP_H_AssignmentToolVolumes,SQL_STORED_PROCEDURE,BI_DB_AssignmentToolVolumes,ED THIS PART (DELETE FROM dbo.BI_DB_AssignmentToolVolumes WHERE [BeginTimeID] = @dateID
BI_DB_dbo,SP_M_EOMExposures,SQL_STORED_PROCEDURE,BI_DB_EOMExposures,        delete from BI_DB_dbo.BI_DB_EOMExposures where Date = @EndofMonth     
Dealing_dbo,SP_Market_Manipulation_OutstandingsharesHigherthan005,SQL_STORED_PROCEDURE,Dealing_Market_Manipulation_OutstandingsharesHigherthan005, into DELETE FROM Dealing_dbo.Dealing_Market_Manipulation_OutstandingsharesHigherthan005  WHERE Date = @Date    INSERT
Dealing_dbo,SP_Market_Manipulation_OutstandingsharesHigherthan005,SQL_STORED_PROCEDURE,Dealing_Market_Manipulation_OutstandingsharesHigherthan005_Email,rt TRUNCATE TABLE Dealing_dbo.Dealing_Market_Manipulation_OutstandingsharesHigherthan005_Email  INSERT INTO Dealing_dbo.Deal
EXW_dbo,SP_EXW_WalletUsers_30_Days,SQL_STORED_PROCEDURE,BI_DB_CIDFirstDates, AS LastLogin 	FROM BI_DB_dbo.BI_DB_CIDFirstDates fca with (NOLOCK) 	WHERE fca.
BI_DB_dbo,SP_Compliance_Forbidden_Trades,SQL_STORED_PROCEDURE,BI_DB_Compliance_Illegal_Trades_Alerts,"ullName and Phone cloumn from BI_DB_Compliance_Illegal_Trades_Alerts table (as part of ""Move PII c"
BI_DB_dbo,SP_Compliance_Forbidden_Trades,SQL_STORED_PROCEDURE,BI_DB_CIDFirstDates,ReasonID 	LEFT JOIN BI_DB_dbo.BI_DB_CIDFirstDates bdcd 		ON bdcd.CID = dc.RealC
BI_DB_dbo,SP_Compliance_Forbidden_Trades,SQL_STORED_PROCEDURE,BI_DB_Compliance_Restriction_Lists_Forbidden_Trading,dYesterday = 1 JOIN BI_DB_dbo.BI_DB_Compliance_Restriction_Lists_Forbidden_Trading cl 	ON p.CountryID = cl.Count
BI_DB_dbo,SP_US_Apex_Transactions_Trading_Activity,SQL_STORED_PROCEDURE,BI_DB_US_Apex_Transactions_Trading_Activity,c)*/  DELETE FROM  BI_DB_dbo.[BI_DB_US_Apex_Transactions_Trading_Activity]  WHERE DateId=@DateID   /*in
BI_DB_dbo,SP_BI_DB_PLTV,SQL_STORED_PROCEDURE,BI_DB_KYC_Score_CID_Level, AS updateDate FROM BI_DB_dbo.BI_DB_KYC_Score_CID_Level a JOIN BI_DB_dbo.BI_DB_KYC_Pa
BI_DB_dbo,SP_BI_DB_PLTV,SQL_STORED_PROCEDURE,BI_DB_KYC_Panel,re_CID_Level a JOIN BI_DB_dbo.BI_DB_KYC_Panel b ON a.RealCID = b.RealCID AN
BI_DB_dbo,SP_BI_DB_PLTV,SQL_STORED_PROCEDURE,BI_DB_LTV_BI_Actual,tionLevelID>=2 JOIN BI_DB_dbo.BI_DB_LTV_BI_Actual bdl ON a.RealCID = bdl.CID JO
BI_DB_dbo,Function_DDR_Aggregation_MoM,SQL_INLINE_TABLE_VALUED_FUNCTION,BI_DB_DDR_Customer_Periodic_Status,IBAN_ThisMonth FROM BI_DB_dbo.BI_DB_DDR_Customer_Periodic_Status ps WHERE ps.DateID >= @StartY
BI_DB_dbo,SP_M_LTV_Multipliers,SQL_STORED_PROCEDURE,BI_DB_CID_MonthlyPanel_FullData,eportDate  	FROM [BI_DB_dbo].[BI_DB_CID_MonthlyPanel_FullData] mp WITH (NOLOCK) 	WHERE mp.F
BI_DB_dbo,SP_M_LTV_Multipliers,SQL_STORED_PROCEDURE,BI_DB_LTV_Revenue_Multipliers,le  	DELETE FROM [BI_DB_dbo].[BI_DB_LTV_Revenue_Multipliers] 	WHERE @date = Date;   	INSE
BI_DB_dbo,SP_Tax_Compliance_W8_AND_TIN,SQL_STORED_PROCEDURE,BI_DB_Tax_Compliance_TIN,nd delete:  --MERGE BI_DB_dbo.BI_DB_Tax_Compliance_TIN trgt  --USING #usertaxdata sr
BI_DB_dbo,SP_Tax_Compliance_W8_AND_TIN,SQL_STORED_PROCEDURE,BI_DB_Tax_Compliance_Trade_CFD_US_Stocks,nd insert: --MERGE BI_DB_dbo.[BI_DB_Tax_Compliance_Trade_CFD_US_Stocks] trgt --USING #users src ON t
Dealing_dbo,SP_W_Sat_WeeklyClientData,SQL_STORED_PROCEDURE,Dealing_ClientDataFinal,"sert Data into Tables  [dbo].[Dealing_ClientDataFinal] ,  [dbo].[Dealing_ClientData"
Dealing_dbo,SP_W_Sat_WeeklyClientData,SQL_STORED_PROCEDURE,Dealing_ClientDataRecurring,"ng_ClientDataFinal] ,  [dbo].[Dealing_ClientDataRecurring] and [dbo].[Dealing_ClientDat"
Dealing_dbo,SP_W_Sat_WeeklyClientData,SQL_STORED_PROCEDURE,Dealing_ClientDataTop50,ientDataRecurring] and [dbo].[Dealing_ClientDataTop50] - Used in tableau Reports fo
Dealing_dbo,SP_W_Sat_WeeklyClientData,SQL_STORED_PROCEDURE,Dealing_ClientsDataChange_6Months,a  DELETE FROM [Dealing_dbo].[Dealing_ClientsDataChange_6Months] WHERE [Date] = @Date  INSERT
Dealing_dbo,SP_W_Sat_WeeklyClientData,SQL_STORED_PROCEDURE,Dealing_ClientsDataChange_3Months,   DELETE FROM [Dealing_dbo].[Dealing_ClientsDataChange_3Months] WHERE [Date] = @Date  INSERT
BI_DB_dbo,SP_M_PR_MonthlyData,SQL_STORED_PROCEDURE,BI_DB_CIDFirstDates,   dp.Amount   FROM BI_DB_dbo.BI_DB_CIDFirstDates CIDFirstDates WITH(NOLOCK)   
BI_DB_dbo,SP_M_PR_MonthlyData,SQL_STORED_PROCEDURE,BI_DB_PR_MonthlyData,T      DELETE FROM BI_DB_dbo.[BI_DB_PR_MonthlyData] WHERE Date = @Startofmonth  
BI_DB_dbo,SP_Crypto_Top_1000_List,SQL_STORED_PROCEDURE,BI_DB_DailyCommisionReport,rom_20230801 --FROM BI_DB_dbo.BI_DB_DailyCommisionReport bddcr --INNER JOIN DWH_dbo.Di
BI_DB_dbo,SP_Crypto_Top_1000_List,SQL_STORED_PROCEDURE,BI_DB_UsageTracking_SF,S Last_contact FROM BI_DB_dbo.BI_DB_UsageTracking_SF bduts WITH (NOLOCK) INNER JOI
BI_DB_dbo,SP_Crypto_Top_1000_List,SQL_STORED_PROCEDURE,BI_DB_CID_MonthlyPanel_FullData,AS UpdateDate FROM  BI_DB_dbo.BI_DB_CID_MonthlyPanel_FullData bdcmpfd  INNER JOIN #Pop p ON
BI_DB_dbo,SP_Crypto_Top_1000_List,SQL_STORED_PROCEDURE,BI_DB_CIDFirstDates, = lc.CID LEFT JOIN BI_DB_dbo.BI_DB_CIDFirstDates bdcd ON bdcmpfd.CID = bdcd.CI
Dealing_dbo,SP_DailySpread_ModeFrequency,SQL_STORED_PROCEDURE,Dealing_DailySpread_ModeFrequency,----  DELETE FROM Dealing_dbo.Dealing_DailySpread_ModeFrequency WHERE Date=@Date INSERT INTO 
BI_DB_dbo,SP_IFR_KFactors_Automation_KCMH_Daily,SQL_STORED_PROCEDURE,BI_DB_Capital_Adequacy_Daily_Equity,BY Date) AS RN FROM BI_DB_dbo.BI_DB_Capital_Adequacy_Daily_Equity WHERE 1=1  --AND Real_CFD = '
BI_DB_dbo,SP_Client_Balance_Breakdown_Quick,SQL_STORED_PROCEDURE,Client_Balance_Breakdown_Instrument_Level,352289  delete from BI_DB_dbo.Client_Balance_Breakdown_Instrument_Level where DateID = @DateID  inser
BI_DB_dbo,SP_Client_Balance_Breakdown_Quick,SQL_STORED_PROCEDURE,BI_DB_DailyCommisionReport,missionChange) from BI_DB_dbo.BI_DB_DailyCommisionReport where DateID = 20230315   dro
BI_DB_dbo,SP_Blocked_Customers,SQL_STORED_PROCEDURE,BI_DB_CIDFirstDates,LoggedIn_Group FROM BI_DB_dbo.BI_DB_CIDFirstDates fd WITH(NOLOCK)    /*********
BI_DB_dbo,SP_Blocked_Customers,SQL_STORED_PROCEDURE,BI_DB_Blocked_Customers,***/ TRUNCATE TABLE BI_DB_dbo.BI_DB_Blocked_Customers  INSERT INTO BI_DB_dbo.BI_DB_
BI_DB_dbo,SP_H_VerificationStatus30Days,SQL_STORED_PROCEDURE,BI_DB_AllDeposits,yID       left join BI_DB_dbo.BI_DB_AllDeposits a on dc.CID = a.CID      and 
BI_DB_dbo,SP_H_VerificationStatus30Days,SQL_STORED_PROCEDURE,BI_DB_VerificationStatus30Days,   TRUNCATE table  BI_DB_dbo.[BI_DB_VerificationStatus30Days]          INSERT INTO BI_DB_d
BI_DB_dbo,SP_VAT_Transaction,SQL_STORED_PROCEDURE,BI_DB_VAT_Transactions,Name    DELETE FROM BI_DB_dbo.BI_DB_VAT_Transactions WHERE [Month] = @EndMonth  IN
BI_DB_dbo,SP_Payoneer_Revenue_Report,SQL_STORED_PROCEDURE,BI_DB_DailyCommisionReport,			            FROM BI_DB_dbo.BI_DB_DailyCommisionReport bddcr 		   INNER JOIN #ftds f
BI_DB_dbo,SP_Payoneer_Revenue_Report,SQL_STORED_PROCEDURE,BI_DB_Payoneer_Revenue_Report,*****/	 DELETE FROM BI_DB_dbo.BI_DB_Payoneer_Revenue_Report WHERE EndofMonth = @EndOfMont
BI_DB_dbo,SP_DCM_Dashboard,SQL_STORED_PROCEDURE,BI_DB_CIDFirstDates,UNT(*) FTDs FROM [BI_DB_dbo].[BI_DB_CIDFirstDates] a LEFT JOIN #AffiliateIDs b 
BI_DB_dbo,SP_DCM_Dashboard,SQL_STORED_PROCEDURE,BI_DB_First5Actions,tActionNULL FROM [BI_DB_dbo].[BI_DB_First5Actions] bdfa join #AffiliateIDs b on
BI_DB_dbo,SP_DCM_Dashboard,SQL_STORED_PROCEDURE,BI_DB_DCM_Dashboard,**/  delete from [BI_DB_dbo].[BI_DB_DCM_Dashboard] where Date >=@last90days   I
BI_DB_dbo,SP_BI_DB_CID_DailyPanel_FullData_CREATE_SWITCH_SINGLE,SQL_STORED_PROCEDURE,BI_DB_CID_DailyPanel_FullData,ECT TOP 0 * FROM [BI_DB_dbo].[BI_DB_CID_DailyPanel_FullData]'    EXEC (@sql)      	SET @s
BI_DB_dbo,SP_CMR_Automation_EU_CheckTableUpdate,SQL_STORED_PROCEDURE,BI_DB_InterestDaily,"= @dateID  UNION ALL  SELECT 'BI_DB_InterestDaily' AS TableName 	,CAST(MAX(Upda"
BI_DB_dbo,SP_ASIC_GAML_Invested_Amount,SQL_STORED_PROCEDURE,BI_DB_ASIC_GAML_Invested_Amount,SERT TRUNCATE TABLE BI_DB_dbo.BI_DB_ASIC_GAML_Invested_Amount  INSERT INTO BI_DB_dbo.BI_DB_
Dealing_dbo,V_Dealing_Duco_EODRecon,VIEW,Dealing_Duco_EODRecon,BuyOrSell FROM [Dealing_dbo].[Dealing_Duco_EODRecon] with  (NOLOCK)  where Date>=
Dealing_dbo,SP_ESMANetLoss,SQL_STORED_PROCEDURE,Dealing_ESMANetLoss,      DELETE FROM Dealing_dbo.Dealing_ESMANetLoss WHERE Date=@Date           IN
BI_DB_dbo,Function_Revenue_Trading_Fees_Breakdown,SQL_INLINE_TABLE_VALUED_FUNCTION,BI_DB_Fact_Customer_Action_Position_Distribution,eeName         FROM BI_DB_dbo.BI_DB_Fact_Customer_Action_Position_Distribution fca         JOIN DWH_dbo.Dim_
Dealing_dbo,SP_NOP_Report,SQL_STORED_PROCEDURE,Dealing_NOP_Report, into DELETE FROM Dealing_dbo.Dealing_NOP_Report WHERE Date = @Date  INSERT IN
BI_DB_dbo,SP_W_Tue_Email_for_KYT,SQL_STORED_PROCEDURE,BI_DB_W_Tue_Email_for_KYT,***/ TRUNCATE TABLE BI_DB_dbo.BI_DB_W_Tue_Email_for_KYT  INSERT INTO BI_DB_dbo.BI_DB_
BI_DB_dbo,SP_AML_BI_Alerts_MultipleAccountseMoney,SQL_STORED_PROCEDURE,BI_DB_OPS_MultipleAccounts,ientRiskDateID from BI_DB_dbo.BI_DB_OPS_MultipleAccounts ma left join #eMoneyactive ea
BI_DB_dbo,SP_AML_BI_Alerts_MultipleAccountseMoney,SQL_STORED_PROCEDURE,BI_DB_AML_BI_Alerts_MultipleAccountseMoney, LastAlertDate FROM BI_DB_dbo.BI_DB_AML_BI_Alerts_MultipleAccountseMoney WHERE AlertType = 'IBAN004: T
Dealing_dbo,SP_SpreadsMST,SQL_STORED_PROCEDURE,Dealing_SpreadsMST,ables DELETE FROM Dealing_dbo.Dealing_SpreadsMST WHERE Date = @Date      INSER
BI_DB_dbo,SP_First5Actions,SQL_STORED_PROCEDURE,BI_DB_CustomerFirst5OpenPositions,08-2020    Dan          Using BI_DB_CustomerFirst5OpenPositions instead of Fact_CustomerActio
BI_DB_dbo,SP_First5Actions,SQL_STORED_PROCEDURE,BI_DB_CID_BalanceDays,"Fact_CustomerAction and using BI_DB_CID_BalanceDays for Rev,Deposit and Equity Ba"
BI_DB_dbo,SP_First5Actions,SQL_STORED_PROCEDURE,BI_DB_CIDFirstDates,.SubChannel FROM [BI_DB_dbo].[BI_DB_CIDFirstDates] FD WITH (NOLOCK) WHERE FD.Fi
BI_DB_dbo,SP_First5Actions,SQL_STORED_PROCEDURE,BI_DB_CustomerCross,d) rn       FROM [BI_DB_dbo].[BI_DB_CustomerCross] WITH (NOLOCK)) q0 PIVOT (MAX
BI_DB_dbo,SP_First5Actions,SQL_STORED_PROCEDURE,BI_DB_CustomerCross_New,d) rn       FROM [BI_DB_dbo].[BI_DB_CustomerCross_New] WITH (NOLOCK)) q0 PIVOT (MAX
BI_DB_dbo,SP_First5Actions,SQL_STORED_PROCEDURE,BI_DB_First5Actions,/ TRUNCATE TABLE [BI_DB_dbo].[BI_DB_First5Actions];  INSERT INTO [BI_DB_dbo].[B
BI_DB_dbo,SP_H_EndOfDayReport_Cashouts,SQL_STORED_PROCEDURE,BI_DB_EndOfDayReport_Cashouts,   TRUNCATE TABLE  BI_DB_dbo.[BI_DB_EndOfDayReport_Cashouts]  INSERT INTO  BI_DB_dbo.[BI_
BI_DB_dbo,SP_DDR_Fact_PnL,SQL_STORED_PROCEDURE,BI_DB_DDR_Fact_PnL,S INT)  DELETE FROM BI_DB_dbo.BI_DB_DDR_Fact_PnL WHERE DateID = @dateID  INSER
BI_DB_dbo,SP_US_Customer_Acount_Reconcilation,SQL_STORED_PROCEDURE,BI_DB_US_Customer_Acount_Reconcilation,one'   DELETE FROM BI_DB_dbo.[BI_DB_US_Customer_Acount_Reconcilation] WHERE Date=@Date    /*******
BI_DB_dbo,SP_BI_DB_DLT_Tangany_Trades_Netting,SQL_STORED_PROCEDURE,BI_DB_DLT_Tangany_Trades_Netting,final'  DELETE FROM BI_DB_dbo.BI_DB_DLT_Tangany_Trades_Netting WHERE DateID = @dateID  INSER
BI_DB_dbo,SP_AML_KYC_SOF,SQL_STORED_PROCEDURE,BI_DB_KYC_Panel, #pop pp INNER JOIN BI_DB_dbo.BI_DB_KYC_Panel bdkp WITH(NOLOCK) ON bdkp.Rea
BI_DB_dbo,SP_AML_KYC_SOF,SQL_STORED_PROCEDURE,BI_DB_AML_KYC_SOF,***/ TRUNCATE TABLE BI_DB_dbo.BI_DB_AML_KYC_SOF   INSERT INTO BI_DB_dbo.BI_DB
BI_DB_dbo,SP_PI_Affiliate,SQL_STORED_PROCEDURE,BI_DB_PI_Affiliate,"me and BirthDate cloumns from BI_DB_PI_Affiliate table (as part of ""Move PII c"
BI_DB_dbo,SP_PI_Affiliate,SQL_STORED_PROCEDURE,BI_DB_CIDFirstDates,a.AffiliateID  FROM BI_DB_dbo.BI_DB_CIDFirstDates bdcd WITH (NOLOCK) JOIN #Guru
BI_DB_dbo,SP_AcquisitionFunnel_AGG,SQL_STORED_PROCEDURE,BI_DB_DepositUsersFirstTouchPoints,MIN(Date) from [BI_DB].[dbo].[BI_DB_DepositUsersFirstTouchPoints])     DECLARE @DateID int   =
BI_DB_dbo,SP_AcquisitionFunnel_AGG,SQL_STORED_PROCEDURE,BI_DB_AcquisitionFunnel_AGG,     DELETE FROM [BI_DB_dbo].[BI_DB_AcquisitionFunnel_AGG]     WHERE DateID >= @DateID 
BI_DB_dbo,SP_H_AssignmentToolTasks,SQL_STORED_PROCEDURE,BI_DB_AssignmentToolTasks,  TRUNCATE TABLE [BI_DB_dbo].[BI_DB_AssignmentToolTasks]  INSERT INTO [BI_DB_dbo].[BI
BI_DB_dbo,SP_Users_Bio,SQL_STORED_PROCEDURE,BI_DB_Publications,_live pl LEFT JOIN  BI_DB_dbo.BI_DB_Publications pu   ON pu.CID = pl.CID   WHE
BI_DB_dbo,SP_Finance_Non_US_Settlement_2025,SQL_STORED_PROCEDURE,BI_DB_Finance_Non_US_Settlement_New_2025,)) AS SELECT * FROM BI_DB_dbo.BI_DB_Finance_Non_US_Settlement_New_2025 WHERE DateID =20251029 --- CR
BI_DB_dbo,SP_Finance_Non_US_Settlement_2025,SQL_STORED_PROCEDURE,BI_DB_Finance_eToro_vs_Positions,)) AS SELECT * FROM BI_DB_dbo.BI_DB_Finance_eToro_vs_Positions bdftvp WHERE DateID =20251029
BI_DB_dbo,SP_Finance_Non_US_Settlement_2025,SQL_STORED_PROCEDURE,Dealing_Duco_EODRecon,"Units, dde.  FROM Dealing_dbo.Dealing_Duco_EODRecon dde  WHERE dde.Date ='2025-10"
BI_DB_dbo,Function_Trading_Volume,SQL_INLINE_TABLE_VALUED_FUNCTION,BI_DB_CopyFund_Positions,"""final"" f LEFT JOIN BI_DB_dbo.BI_DB_CopyFund_Positions bdcfp 	ON f.PositionID = bdcf"
BI_DB_dbo,Function_Trading_Volume,SQL_INLINE_TABLE_VALUED_FUNCTION,BI_DB_RecurringInvestment_Positions,ositionID LEFT JOIN BI_DB_dbo.BI_DB_RecurringInvestment_Positions bdrip 	ON f.PositionID = bdri
BI_DB_dbo,Function_Trading_Volume,SQL_INLINE_TABLE_VALUED_FUNCTION,BI_DB_Positions_Opened_From_IBAN,ositionID LEFT JOIN BI_DB_dbo.BI_DB_Positions_Opened_From_IBAN bdpofi 	ON f.PositionID = bdp
BI_DB_dbo,Function_Trading_Volume,SQL_INLINE_TABLE_VALUED_FUNCTION,BI_DB_Positions_Closed_To_IBAN,ositionID LEFT JOIN BI_DB_dbo.BI_DB_Positions_Closed_To_IBAN bdpcti 	ON f.PositionID = bdp
BI_DB_dbo,SP_rsk_RiskCorelation_PIs,SQL_STORED_PROCEDURE,BI_DB_rsk_Portfolio,uity as Weight from BI_DB_dbo.BI_DB_rsk_Portfolio a with(nolock) join #pistd pi
BI_DB_dbo,SP_rsk_RiskCorelation_PIs,SQL_STORED_PROCEDURE,BI_DB_rsk_Risk_PI_Correl,pe2     delete from BI_DB_dbo.BI_DB_rsk_Risk_PI_Correl where Date=@Date Or Date <= D
BI_DB_dbo,SP_rsk_RiskCorelation_PIs,SQL_STORED_PROCEDURE,BI_DB_rsk_Risk_PI_Stats,onPnl   delete from BI_DB_dbo.BI_DB_rsk_Risk_PI_Stats where Date=@Date Or Date <= D
BI_DB_dbo,SP_M_Affiliates_FraudMonitoring,SQL_STORED_PROCEDURE,BI_DB_CIDFirstDates,egisteredID FROM [BI_DB_dbo].[BI_DB_CIDFirstDates] cf JOIN [DWH_dbo].[Dim_Affil
BI_DB_dbo,SP_M_Affiliates_FraudMonitoring,SQL_STORED_PROCEDURE,BI_DB_Affiliates_FraudMonitoring,N)  DELETE FROM  [BI_DB_dbo].[BI_DB_Affiliates_FraudMonitoring] WHERE [RegisteredID]=@StartD
BI_DB_dbo,SP_TicketsForOPSNEW,SQL_STORED_PROCEDURE,BI_DB_HourlyReport_Withdraws,WithdrawID] FROM [BI_DB_dbo].[BI_DB_HourlyReport_Withdraws] W LEFT JOIN [BI_DB_dbo].[Ext
BI_DB_dbo,SP_Y_RBSF,SQL_STORED_PROCEDURE,BI_DB_Compliance_Restriction_Lists_Countries,ryRestricted   FROM BI_DB_dbo.BI_DB_Compliance_Restriction_Lists_Countries WITH (nolock)-- select * from
BI_DB_dbo,SP_Y_RBSF,SQL_STORED_PROCEDURE,BI_DB_Compliance_Restriction_Lists_CIDs,S CIDInList    FROM BI_DB_dbo.BI_DB_Compliance_Restriction_Lists_CIDs   WHERE @date BETWEEN FromDat
BI_DB_dbo,SP_Y_RBSF,SQL_STORED_PROCEDURE,BI_DB_KYC_Panel,ories a   LEFT JOIN BI_DB_dbo.BI_DB_KYC_Panel b    ON a.CID = b.RealCID    
BI_DB_dbo,SP_ClubChangeLog,SQL_STORED_PROCEDURE,BI_DB_ClubChangeLog,GIN 	delete FROM [BI_DB_dbo].[BI_DB_ClubChangeLog] 	WHERE [CreateDate] >= @dd		
BI_DB_dbo,SP_Finance_Non_US_Settlement_2023,SQL_STORED_PROCEDURE,BI_DB_Finance_Non_US_Settlement_New_2023,-----   DELETE FROM BI_DB_dbo.BI_DB_Finance_Non_US_Settlement_New_2023 WHERE DateID = @dateID  INSER
BI_DB_dbo,SP_BI_DB_ApproperiatenessTest_FTP_CID_Level,SQL_STORED_PROCEDURE,BI_DB_Scored_Appropriateness_Negative_Market,actionId INNER JOIN BI_DB_dbo.BI_DB_Scored_Appropriateness_Negative_Market atnm ON ci.GCID = atnm.GCID I
