uc_fqn,column,deployed_comment,signals
main.etoro_kpi_prep.v_revenue_stakingfee,designatedregulationid,Secondary/designated regulatory jurisdiction (separate from primary RegulationID). DEFAULT 0. Source: Ext_FSC_BackOffice_Customer.DesignatedRegulationID (BO). F,"SIBLING_PHRASES: ['BIGINT', 'COMPLETE', 'CustomerStatic', 'DWHRegulationID', 'DesignatedRegulation', 'FromDateID'] || HEADING_ANCHOR: ['BI_DB_AffiliateFTDsAndURLS: Regulation Breakdown (DesignatedRegulationID)', 'BI_DB_Compliance_Surveillance_ShortTermTrades.review-needed: Flag 2 — DesignatedRegulationID vs RegulationID (SOFT)']"
main.etoro_kpi_prep.v_revenue_transfercoinfee,designatedregulationid,Secondary/designated regulatory jurisdiction (separate from primary RegulationID). DEFAULT 0. Source: Ext_FSC_BackOffice_Customer.DesignatedRegulationID (BO). F,"SIBLING_PHRASES: ['BIGINT', 'COMPLETE', 'CustomerStatic', 'DWHRegulationID', 'DesignatedRegulation', 'FromDateID'] || HEADING_ANCHOR: ['BI_DB_AffiliateFTDsAndURLS: Regulation Breakdown (DesignatedRegulationID)', 'BI_DB_Compliance_Surveillance_ShortTermTrades.review-needed: Flag 2 — DesignatedRegulationID vs RegulationID (SOFT)']"
main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_liabilities,notional,"Total absolute USD exposure across all positions. Computed as SUM(ABS(per-position signed USD exposure)) grouped by CID — ABS is applied per position, not per i","SIBLING_PHRASES: ['AmountInUnitsDecimal', 'COPosAmount', 'ClosedVolume', 'ComputedVolumeClose', 'ComputedVolumeOpen', 'EndForexRate'] || HEADING_ANCHOR: ['BI_DB_ASIC_Monthly_Positions: Monthly ASIC notional volume trend (AU open positions)', 'BI_DB_Compliance_VP_Monthly_MI.review-needed: Flag 3 — Net Notional Sign Logic (SOFT)']"
main.etoro_kpi_prep.v_revenue_commission,actiontypeid,Event classifier — join Dim_ActionType for Name / Category. Drives sparse column population. Derived from CreditTypeID & branch router in loader + positional fe,"SIBLING_PHRASES: ['ActionDateID', 'ActionID', 'ActionNumber', 'ActionTyp', 'ActionType', 'ActionTypeIDs'] || HEADING_ANCHOR: ['BI_DB_ClientBalance_DDR_Data_Integrity_Alert: Reconstruct DepositDDR (ActionTypeID=7 Only) for Cross-Reference', 'BI_DB_CMR_Phase2_Finra_NonCash_Comps: 2.2 ActionTypeID = 36 — Non-Cash Compensations']"
main.etoro_kpi_prep.v_revenue_fullcommission,actiontypeid,Event classifier — join Dim_ActionType for Name / Category. Drives sparse column population. Derived from CreditTypeID & branch router in loader + positional fe,"SIBLING_PHRASES: ['ActionDateID', 'ActionID', 'ActionNumber', 'ActionTyp', 'ActionType', 'ActionTypeIDs'] || HEADING_ANCHOR: ['BI_DB_ClientBalance_DDR_Data_Integrity_Alert: Reconstruct DepositDDR (ActionTypeID=7 Only) for Cross-Reference', 'BI_DB_CMR_Phase2_Finra_NonCash_Comps: 2.2 ActionTypeID = 36 — Non-Cash Compensations']"
main.etoro_kpi_prep.v_revenue_optionsplatform,actiontypeid,CASE WHEN Side = 'B' THEN 1 WHEN Side = 'S' THEN 4 END. Source: Sodreconciliation_apex_EXT1047_RevenueReports.Side. (T2 — Function_Revenue_OptionsPlatform),"SIBLING_PHRASES: ['ActionDateID', 'ActionID', 'ActionNumber', 'ActionTyp', 'ActionType', 'ActionTypeID'] || HEADING_ANCHOR: ['BI_DB_ClientBalance_DDR_Data_Integrity_Alert: Reconstruct DepositDDR (ActionTypeID=7 Only) for Cross-Reference', 'BI_DB_CMR_Phase2_Finra_NonCash_Comps: 2.2 ActionTypeID = 36 — Non-Cash Compensations']"
main.etoro_kpi_prep.v_revenue_commission,email,"Customer email address (nvarchar(50), nullable). No DDL-level dynamic data masking is defined on this column. GDPR erasure handled in ETL. Source: Ext_FSC_Real_","SIBLING_PHRASES: ['AGGSilverpopCampaign', 'AccountManagerID', 'ActionName', 'AffiliatesGroupsName', 'BackOffice', 'BirthDate'] || HEADING_ANCHOR: ['_index: Batch 106 (COMPLETE) -- US compliance Apex client profiles (40-col PII + 1', '_index: Batch 102 (COMPLETE) -- Risk (PayPal depositors + daily risk aggregation +']"
main.etoro_kpi_prep.v_revenue_fullcommission,email,"Customer email address (nvarchar(50), nullable). No DDL-level dynamic data masking is defined on this column. GDPR erasure handled in ETL. Source: Ext_FSC_Real_","SIBLING_PHRASES: ['AGGSilverpopCampaign', 'AccountManagerID', 'ActionName', 'AffiliatesGroupsName', 'BackOffice', 'BirthDate'] || HEADING_ANCHOR: ['_index: Batch 106 (COMPLETE) -- US compliance Apex client profiles (40-col PII + 1', '_index: Batch 102 (COMPLETE) -- Risk (PayPal depositors + daily risk aggregation +']"
main.etoro_kpi_prep.v_revenue_stakingfee,email,"Customer email address (nvarchar(50), nullable). No DDL-level dynamic data masking is defined on this column. GDPR erasure handled in ETL. Source: Ext_FSC_Real_","SIBLING_PHRASES: ['AGGSilverpopCampaign', 'AccountManagerID', 'ActionName', 'AffiliatesGroupsName', 'BackOffice', 'BirthDate'] || HEADING_ANCHOR: ['_index: Batch 106 (COMPLETE) -- US compliance Apex client profiles (40-col PII + 1', '_index: Batch 102 (COMPLETE) -- Risk (PayPal depositors + daily risk aggregation +']"
main.etoro_kpi_prep.v_revenue_transfercoinfee,email,"Customer email address (nvarchar(50), nullable). No DDL-level dynamic data masking is defined on this column. GDPR erasure handled in ETL. Source: Ext_FSC_Real_","SIBLING_PHRASES: ['AGGSilverpopCampaign', 'AccountManagerID', 'ActionName', 'AffiliatesGroupsName', 'BackOffice', 'BirthDate'] || HEADING_ANCHOR: ['_index: Batch 106 (COMPLETE) -- US compliance Apex client profiles (40-col PII + 1', '_index: Batch 102 (COMPLETE) -- Risk (PayPal depositors + daily risk aggregation +']"
main.etoro_kpi_prep.v_revenue_commission,address,Customer street address. PII: dynamically masked. GDPR erasure supported. Source: Ext_FSC_Real_Customer_Customer.Address (CC). (Tier 2 - SP_Fact_SnapshotCustome,"SIBLING_PHRASES: ['ActionTypeID', 'BankAddressAsString', 'BirthDate', 'BuildingNumber', 'BuildingNumberAsString', 'CHECKSUM'] || HEADING_ANCHOR: ['_index: Batch 106 (COMPLETE) -- US compliance Apex client profiles (40-col PII + 1', '_index: Batch 105 (COMPLETE) -- Twitter ads marketing + BNY Mellon unsettled trade']"
main.etoro_kpi_prep.v_revenue_fullcommission,address,Customer street address. PII: dynamically masked. GDPR erasure supported. Source: Ext_FSC_Real_Customer_Customer.Address (CC). (Tier 2 - SP_Fact_SnapshotCustome,"SIBLING_PHRASES: ['ActionTypeID', 'BankAddressAsString', 'BirthDate', 'BuildingNumber', 'BuildingNumberAsString', 'CHECKSUM'] || HEADING_ANCHOR: ['_index: Batch 106 (COMPLETE) -- US compliance Apex client profiles (40-col PII + 1', '_index: Batch 105 (COMPLETE) -- Twitter ads marketing + BNY Mellon unsettled trade']"
main.etoro_kpi_prep.v_revenue_stakingfee,address,Customer street address. PII: dynamically masked. GDPR erasure supported. Source: Ext_FSC_Real_Customer_Customer.Address (CC). (Tier 2 - SP_Fact_SnapshotCustome,"SIBLING_PHRASES: ['ActionTypeID', 'BankAddressAsString', 'BirthDate', 'BuildingNumber', 'BuildingNumberAsString', 'CHECKSUM'] || HEADING_ANCHOR: ['_index: Batch 106 (COMPLETE) -- US compliance Apex client profiles (40-col PII + 1', '_index: Batch 105 (COMPLETE) -- Twitter ads marketing + BNY Mellon unsettled trade']"
main.etoro_kpi_prep.v_revenue_transfercoinfee,address,Customer street address. PII: dynamically masked. GDPR erasure supported. Source: Ext_FSC_Real_Customer_Customer.Address (CC). (Tier 2 - SP_Fact_SnapshotCustome,"SIBLING_PHRASES: ['ActionTypeID', 'BankAddressAsString', 'BirthDate', 'BuildingNumber', 'BuildingNumberAsString', 'CHECKSUM'] || HEADING_ANCHOR: ['_index: Batch 106 (COMPLETE) -- US compliance Apex client profiles (40-col PII + 1', '_index: Batch 105 (COMPLETE) -- Twitter ads marketing + BNY Mellon unsettled trade']"
main.etoro_kpi_prep.v_trading_volume_and_amount,instrumenttypeid,JOIN; GROUP BY. Source: DWH_dbo.Dim_Instrument.InstrumentTypeID. (T1 — Function_Trading_Volume),"SIBLING_PHRASES: ['AccountId', 'AmountBugFix', 'AssetAmount', 'AssetPositions', 'AssetType', 'BidSpreaded'] || HEADING_ANCHOR: ['_index: Batch 82 (COMPLETE) -- Cross-Selling pair + Crypto dashboard pair: Cross_S', 'BI_DB_Compliance_Surveillance_ShortTermTrades.review-needed: Flag 7 — InstrumentTypeID Scope (INFO)']"
main.etoro_kpi_prep.v_trading_volume_positionlevel,instrumenttypeid,JOIN. Source: DWH_dbo.Dim_Instrument.InstrumentTypeID. (T1 — Function_Trading_Volume_PositionLevel),"SIBLING_PHRASES: ['AccountId', 'AmountBugFix', 'AssetAmount', 'AssetPositions', 'AssetType', 'BidSpreaded'] || HEADING_ANCHOR: ['_index: Batch 82 (COMPLETE) -- Cross-Selling pair + Crypto dashboard pair: Cross_S', 'BI_DB_Compliance_Surveillance_ShortTermTrades.review-needed: Flag 7 — InstrumentTypeID Scope (INFO)']"
main.etoro_kpi_prep.v_trading_volume_positionlevel,isvalidcustomer,JOIN snapshot on RealCID + Dim_Range. Source: DWH_dbo.Fact_SnapshotCustomer.IsValidCustomer. (T1 — Function_Trading_Volume_PositionLevel),"SIBLING_PHRASES: ['AccountManagerID', 'AccountStatusID', 'AccountTypeID', 'ActionTypeID', 'ActualNWA', 'AmountInUnitsDecimal'] || HEADING_ANCHOR: ['BI_DB_Client_Balance_CID_Level_New: 2.3 IsValidCustomer Flag', 'BI_DB_DDR_Customer_Periodic_Status: 2.4 IsValidCustomer / IsCreditReportValidCB (Canonical Fact rules)']"
main.etoro_kpi_prep.v_revenue_optionsplatform,instrumenttypeid,CASE WHEN InstrumentType = 'Option' THEN 9 WHEN InstrumentType = 'Equity' THEN 5 END. Source: Sodreconciliation_apex_EXT1047_RevenueReports.InstrumentType. (T2 ,"SIBLING_PHRASES: ['AccountId', 'AmountBugFix', 'AssetAmount', 'AssetPositions', 'AssetType', 'BidSpreaded'] || HEADING_ANCHOR: ['_index: Batch 82 (COMPLETE) -- Cross-Selling pair + Crypto dashboard pair: Cross_S', 'BI_DB_Compliance_Surveillance_ShortTermTrades.review-needed: Flag 7 — InstrumentTypeID Scope (INFO)']"
main.etoro_kpi_prep.v_revenue_optionsplatform,isvalidcustomer,"DWH-computed: 1 when not Popular Investor (PlayerLevelID≠4), not label 30/26, and not CountryID=250. Used in reporting to filter out non-standard customers. (Ti","SIBLING_PHRASES: ['AccountManagerID', 'AccountStatusID', 'AccountTypeID', 'ActionTypeID', 'ActualNWA', 'AmountInUnitsDecimal'] || HEADING_ANCHOR: ['BI_DB_Client_Balance_CID_Level_New: 2.3 IsValidCustomer Flag', 'BI_DB_DDR_Customer_Periodic_Status: 2.4 IsValidCustomer / IsCreditReportValidCB (Canonical Fact rules)']"
main.etoro_kpi_prep.v_revenue_adminfee,isvalidcustomer,"1 if the customer is a valid retail customer for analytics purposes. ETL-computed from PlayerLevelID, LabelID, CountryID in Fact_SnapshotCustomer. Passthrough v","SIBLING_PHRASES: ['AccountManagerID', 'AccountStatusID', 'AccountTypeID', 'ActionTypeID', 'ActualNWA', 'AmountInUnitsDecimal'] || HEADING_ANCHOR: ['BI_DB_Client_Balance_CID_Level_New: 2.3 IsValidCustomer Flag', 'BI_DB_DDR_Customer_Periodic_Status: 2.4 IsValidCustomer / IsCreditReportValidCB (Canonical Fact rules)']"
main.etoro_kpi_prep.v_revenue_adminfee,instrumenttypeid,"From IMD (InstrumentMetaData). Asset class: 1=Currencies, 2=Commodities, 3=CFD, 4=Indices, 5=Stocks, 6=ETF, 7=Bonds, 8=TrustFunds, 9=Options, 10=Crypto. FK to D","SIBLING_PHRASES: ['AccountId', 'AmountBugFix', 'AssetAmount', 'AssetPositions', 'AssetType', 'BidSpreaded'] || HEADING_ANCHOR: ['_index: Batch 82 (COMPLETE) -- Cross-Selling pair + Crypto dashboard pair: Cross_S', 'BI_DB_Compliance_Surveillance_ShortTermTrades.review-needed: Flag 7 — InstrumentTypeID Scope (INFO)']"
main.etoro_kpi_prep.v_revenue_commission,isvalidcustomer,"1 if the customer is a valid retail customer for analytics purposes. ETL-computed from PlayerLevelID, LabelID, CountryID. See §2.2. Approx 98% of current rows =","SIBLING_PHRASES: ['AccountManagerID', 'AccountStatusID', 'AccountTypeID', 'ActionTypeID', 'ActualNWA', 'AmountInUnitsDecimal'] || HEADING_ANCHOR: ['BI_DB_Client_Balance_CID_Level_New: 2.3 IsValidCustomer Flag', 'BI_DB_DDR_Customer_Periodic_Status: 2.4 IsValidCustomer / IsCreditReportValidCB (Canonical Fact rules)']"
main.etoro_kpi_prep.v_revenue_commission,instrumenttypeid,"From IMD (InstrumentMetaData). Asset class: 1=Currencies, 2=Commodities, 3=CFD, 4=Indices, 5=Stocks, 6=ETF, 7=Bonds, 8=TrustFunds, 9=Options, 10=Crypto. FK to D","SIBLING_PHRASES: ['AccountId', 'AmountBugFix', 'AssetAmount', 'AssetPositions', 'AssetType', 'BidSpreaded'] || HEADING_ANCHOR: ['_index: Batch 82 (COMPLETE) -- Cross-Selling pair + Crypto dashboard pair: Cross_S', 'BI_DB_Compliance_Surveillance_ShortTermTrades.review-needed: Flag 7 — InstrumentTypeID Scope (INFO)']"
main.etoro_kpi_prep.v_revenue_fullcommission,isvalidcustomer,"1 if the customer is a valid retail customer for analytics purposes. ETL-computed from PlayerLevelID, LabelID, CountryID. See §2.2. Approx 98% of current rows =","SIBLING_PHRASES: ['AccountManagerID', 'AccountStatusID', 'AccountTypeID', 'ActionTypeID', 'ActualNWA', 'AmountInUnitsDecimal'] || HEADING_ANCHOR: ['BI_DB_Client_Balance_CID_Level_New: 2.3 IsValidCustomer Flag', 'BI_DB_DDR_Customer_Periodic_Status: 2.4 IsValidCustomer / IsCreditReportValidCB (Canonical Fact rules)']"
main.etoro_kpi_prep.v_revenue_fullcommission,instrumenttypeid,"From IMD (InstrumentMetaData). Asset class: 1=Currencies, 2=Commodities, 3=CFD, 4=Indices, 5=Stocks, 6=ETF, 7=Bonds, 8=TrustFunds, 9=Options, 10=Crypto. FK to D","SIBLING_PHRASES: ['AccountId', 'AmountBugFix', 'AssetAmount', 'AssetPositions', 'AssetType', 'BidSpreaded'] || HEADING_ANCHOR: ['_index: Batch 82 (COMPLETE) -- Cross-Selling pair + Crypto dashboard pair: Cross_S', 'BI_DB_Compliance_Surveillance_ShortTermTrades.review-needed: Flag 7 — InstrumentTypeID Scope (INFO)']"
main.etoro_kpi_prep.v_revenue_rollover,isvalidcustomer,"1 if the customer is a valid retail customer for analytics purposes. ETL-computed from PlayerLevelID, LabelID, CountryID in Fact_SnapshotCustomer. Passthrough v","SIBLING_PHRASES: ['AccountManagerID', 'AccountStatusID', 'AccountTypeID', 'ActionTypeID', 'ActualNWA', 'AmountInUnitsDecimal'] || HEADING_ANCHOR: ['BI_DB_Client_Balance_CID_Level_New: 2.3 IsValidCustomer Flag', 'BI_DB_DDR_Customer_Periodic_Status: 2.4 IsValidCustomer / IsCreditReportValidCB (Canonical Fact rules)']"
