hub_id,file,source_field,trigger_raw,trigger_normalized
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,sample_questions,MoneyFarm AUM today,moneyfarm aum today
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,sample_questions,Options/Apex equity Sunday,options apex equity sunday
cross-cutting,knowledge/skills/cross-cutting/data-latency-and-rollforward.md,sample_questions,Customer balance for date X (where X has no data yet),customer balance for date x where x has no data yet
cross-cutting,knowledge/skills/cross-cutting/routing-disambiguation-contract.md,triggers,routing,routing
cross-cutting,knowledge/skills/cross-cutting/routing-disambiguation-contract.md,triggers,disambiguation,disambiguation
cross-cutting,knowledge/skills/cross-cutting/routing-disambiguation-contract.md,triggers,trigger overlap,trigger overlap
cross-cutting,knowledge/skills/cross-cutting/routing-disambiguation-contract.md,triggers,which hub,which hub
cross-cutting,knowledge/skills/cross-cutting/routing-disambiguation-contract.md,triggers,which skill,which skill
cross-cutting,knowledge/skills/cross-cutting/routing-disambiguation-contract.md,triggers,ambiguous routing,ambiguous routing
cross-cutting,knowledge/skills/cross-cutting/routing-disambiguation-contract.md,triggers,skill conflict,skill conflict
cross-cutting,knowledge/skills/cross-cutting/routing-disambiguation-contract.md,triggers,hub conflict,hub conflict
cross-cutting,knowledge/skills/cross-cutting/routing-disambiguation-contract.md,triggers,routing contract,routing contract
cross-cutting,knowledge/skills/cross-cutting/routing-disambiguation-contract.md,triggers,disambiguation contract,disambiguation contract
cross-cutting,knowledge/skills/cross-cutting/routing-disambiguation-contract.md,triggers,ledger,ledger
cross-cutting,knowledge/skills/cross-cutting/routing-disambiguation-contract.md,triggers,primary owner,primary owner
cross-cutting,knowledge/skills/cross-cutting/routing-disambiguation-contract.md,triggers,qualified form,qualified form
cross-cutting,knowledge/skills/cross-cutting/routing-disambiguation-contract.md,triggers,context dispatch,context dispatch
cross-cutting,knowledge/skills/cross-cutting/routing-disambiguation-contract.md,triggers,bare trigger,bare trigger
cross-cutting,knowledge/skills/cross-cutting/routing-disambiguation-contract.md,triggers,polysemy,polysemy
cross-cutting,knowledge/skills/cross-cutting/routing-disambiguation-contract.md,triggers,homonym,homonym
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,cross-cutting,cross-cutting
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,shared contract,shared contract
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,filter contract,filter contract
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,valid users,valid users
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,valid customers,valid customers
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,IsValidCustomer,isvalidcustomer
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,IsValidUser,isvaliduser
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,IsCreditReportValidCB,iscreditreportvalidcb
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,test accounts,test accounts
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,internal accounts,internal accounts
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,etorians,etorians
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,CB valid,cb valid
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,Client Balance valid,client balance valid
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,credit-report valid,credit-report valid
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,period-correct,period-correct
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,scope footer,scope footer
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,SCD-2 walk,scd-2 walk
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,omni-filter,omni-filter
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,data latency,data latency
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,data freshness,data freshness
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,roll forward,roll forward
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,rollforward,rollforward
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,latest available,latest available
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,effective date,effective date
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,as-of date,as-of date
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,stale data,stale data
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,same-day FX,same-day fx
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,FX null,fx null
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,weekend lag,weekend lag
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,Apex lag,apex lag
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,Spaceship gap,spaceship gap
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,MoneyFarm same-day,moneyfarm same-day
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,routing,routing
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,disambiguation,disambiguation
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,trigger overlap,trigger overlap
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,which hub,which hub
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,which skill,which skill
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,ambiguous routing,ambiguous routing
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,skill conflict,skill conflict
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,hub conflict,hub conflict
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,routing contract,routing contract
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,disambiguation contract,disambiguation contract
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,primary owner,primary owner
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,qualified form,qualified form
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,context dispatch,context dispatch
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,bare trigger,bare trigger
cross-cutting,knowledge/skills/cross-cutting/SKILL.md,triggers,polysemy,polysemy
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,triggers,IsValidCustomer,isvalidcustomer
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,triggers,IsValidUser,isvaliduser
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,triggers,IsCreditReportValidCB,iscreditreportvalidcb
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,triggers,valid users,valid users
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,triggers,valid customers,valid customers
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,triggers,test accounts,test accounts
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,triggers,internal accounts,internal accounts
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,triggers,etorians,etorians
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,triggers,CB valid,cb valid
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,triggers,Client Balance valid,client balance valid
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,triggers,credit-report valid,credit-report valid
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,triggers,period-correct,period-correct
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,triggers,scope footer,scope footer
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,triggers,filter contract,filter contract
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,required_tables,main.dwh.gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid_masked,main dwh gold_sql_dp_prod_we_dwh_dbo_v_fact_snapshotcustomer_fromdateid_masked
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,required_tables,main.dwh.gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked,main dwh gold_sql_dp_prod_we_dwh_dbo_dim_customer_masked
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,sample_questions,Total trading revenue YTD,total trading revenue ytd
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,sample_questions,Net deposits last month by country,net deposits last month by country
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,sample_questions,"Customer balances last month, CB valid",customer balances last month cb valid
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,sample_questions,How many valid customers right now,how many valid customers right now
cross-cutting,knowledge/skills/cross-cutting/valid-users-filter-contract.md,sample_questions,Include test accounts in row count for a data-quality check,include test accounts in row count for a data-quality check
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,AUM,aum
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,AUA,aua
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,aum,aum
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,aua,aua
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,assets under management,assets under management
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,assets under administration,assets under administration
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,total AUM,total aum
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,total AUA,total aua
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,all-platform AUM,all-platform aum
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,all-platform AUA,all-platform aua
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,group AUM,group aum
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,group AUA,group aua
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,total platform equity,total platform equity
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,total customer equity,total customer equity
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,total client equity,total client equity
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,what is our AUM,what is our aum
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,what is our AUA,what is our aua
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,EquityGlobal,equityglobal
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,TotalEquityTP,totalequitytp
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,IBANBalance,ibanbalance
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,OptionsTotalEquity,optionstotalequity
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,balance under custody,balance under custody
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,assets under custody,assets under custody
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,non-custodial wallet AUM,non-custodial wallet aum
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,EXW AUM,exw aum
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,eToro wallet AUM,etoro wallet aum
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,on-chain crypto AUM,on-chain crypto aum
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,triggers,self-custody AUM,self-custody aum
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,required_tables,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_aum,main bi_db gold_sql_dp_prod_we_bi_db_dbo_bi_db_ddr_fact_aum
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,required_tables,main.bi_db.gold_sql_dp_prod_we_exw_dbo_exw_financereportsbalancesnew,main bi_db gold_sql_dp_prod_we_exw_dbo_exw_financereportsbalancesnew
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,required_tables,main.etoro_kpi.v_spaceship_aum,main etoro_kpi v_spaceship_aum
domain-aum-and-aua,knowledge/skills/domain-aum-and-aua/SKILL.md,required_tables,main.etoro_kpi_prep.v_moneyfarm_aum,main etoro_kpi_prep v_moneyfarm_aum
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,AML alert,aml alert
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,AML alerts,aml alerts
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,alert routing,alert routing
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,alert review,alert review
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,alert category,alert category
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,AlertCode,alertcode
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,AlertID,alertid
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,AlertCategory,alertcategory
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,AlertSeverityScore,alertseverityscore
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,AlertsSummary,alertssummary
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,BI_DB_AML_BI_Alerts_New,bi_db_aml_bi_alerts_new
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,BI_DB_AML_Daily_Alerts,bi_db_aml_daily_alerts
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,BI_DB_RiskAlertManagementTool,bi_db_riskalertmanagementtool
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,RiskAlertManagementTool,riskalertmanagementtool
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,BI_DB_AMLPeriodicReview,bi_db_amlperiodicreview
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,bi_db_amlperiodicreview,bi_db_amlperiodicreview
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,aml_snapshotcustomer_enriched_v,aml_snapshotcustomer_enriched_v
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,periodic review,periodic review
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,Review_Due_Date,review_due_date
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,Review_Due_DateID,review_due_dateid
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,DC1,dc1
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,DC2,dc2
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,DC3,dc3
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,DC4,dc4
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,DC5,dc5
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,DC6,dc6
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,DC7,dc7
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,DC8,dc8
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,DC9,dc9
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,DC10,dc10
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,DC11,dc11
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,DC21,dc21
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,OB6,ob6
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,OB7,ob7
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,OB8,ob8
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,OB20,ob20
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,DC alert,dc alert
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,OB alert,ob alert
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,Actimize,actimize
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,CDD risk score,cdd risk score
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,CDD alert,cdd alert
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,Client is PEP,client is pep
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,PEP alert,pep alert
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,alert rule,alert rule
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,alert catalogue,alert catalogue
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,BIAMLAlerts,biamlalerts
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,RiskAlertSummary,riskalertsummary
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,LatestRiskAlertDateReview,latestriskalertdatereview
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,LatestBIAlertDate,latestbialertdate
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,TotalAlerts,totalalerts
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,TotalCheckAlerts,totalcheckalerts
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,CheckAlertSummary,checkalertsummary
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,MaterialChangePII,materialchangepii
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,MaterialChangeLogins,materialchangelogins
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,MaterialChangeMIMO,materialchangemimo
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,RoutineMonitoringRedFlagsHRC,routinemonitoringredflagshrc
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,SourceOfIncomeAlert,sourceofincomealert
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,OccupationAlert,occupationalert
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,DeclaredIncomeANDAssetsAlert,declaredincomeandassetsalert
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,PlannedInvestmentAlert,plannedinvestmentalert
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,synapse only,synapse only
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,triggers,Synapse-only AML,synapse-only aml
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,required_tables,main.bi_db.gold_sql_dp_prod_we_bi_db_dbo_bi_db_amlperiodicreview,main bi_db gold_sql_dp_prod_we_bi_db_dbo_bi_db_amlperiodicreview
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,required_tables,main.pii_data.aml_snapshotcustomer_enriched_v,main pii_data aml_snapshotcustomer_enriched_v
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,sample_questions,Which AML alerts fired today / yesterday for CID X?,which aml alerts fired today yesterday for cid x
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,sample_questions,How many AML alerts were raised in the last 30 days by AlertCode?,how many aml alerts were raised in the last 30 days by alertcode
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,sample_questions,Periodic AML review queue for next 30 days (Review_Due_Date filter),periodic aml review queue for next 30 days review_due_date filter
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,sample_questions,Which customers are overdue for periodic AML review (Review_Due_DateID < today)?,which customers are overdue for periodic aml review review_due_dateid today
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,sample_questions,What does AlertCode = 'DC4' mean? — pull from Confluence Old-logic page + cross-check against Synapse distinct AlertCode list,what does alertcode dc4 mean pull from confluence old-logic page cross-check against synapse distinct alertcode list
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,sample_questions,Customers with high Actimize CDD severity score (AlertSeverityScore >= 200),customers with high actimize cdd severity score alertseverityscore 200
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,sample_questions,Material-change alerts (MaterialChangePII / MaterialChangeLogins / MaterialChangeMIMO) per CID in the last 90 days,material-change alerts materialchangepii materialchangelogins materialchangemimo per cid in the last 90 days
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,sample_questions,Routine monitoring red flags — outdated data / EP / HRC summary per CID,routine monitoring red flags outdated data ep hrc summary per cid
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,sample_questions,AlertsSummary breakdown for a single CID across the periodic-review queue,alertssummary breakdown for a single cid across the periodic-review queue
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,sample_questions,Reconcile per-CID alert count: bi_db_amlperiodicreview.TotalAlerts (UC) vs COUNT(*) on BI_DB_AML_BI_Alerts_New (Synapse) — should match,reconcile per-cid alert count bi_db_amlperiodicreview totalalerts uc vs count on bi_db_aml_bi_alerts_new synapse should match
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-alert-routing.md,sample_questions,Source-of-income / occupation / planned-investment alerts on the periodic-review queue,source-of-income occupation planned-investment alerts on the periodic-review queue
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-regtech-pipeline.md,triggers,regtech,regtech
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-regtech-pipeline.md,triggers,regtech_aml,regtech_aml
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-regtech-pipeline.md,triggers,regtech.gold_regtech_aml,regtech gold_regtech_aml
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-regtech-pipeline.md,triggers,regreportdb,regreportdb
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-regtech-pipeline.md,triggers,gold_regreportdb_prod_dbo_aml,gold_regreportdb_prod_dbo_aml
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-regtech-pipeline.md,triggers,aml_riskscore_scd,aml_riskscore_scd
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-regtech-pipeline.md,triggers,api_riskscore,api_riskscore
domain-compliance-and-aml,knowledge/skills/domain-compliance-and-aml/aml-regtech-pipeline.md,triggers,regtech_aml_population,regtech_aml_population
